,ground_truth,ground_truth,Graphst,Leiden,MENDER,SCANPY,SEDR,SpaceFlow,SpaGCN,STAGATE,stGCL,stLearn
1471x2717,MPA,MPA,3,2,0,5,5,1,3,3,3,3
1482x2851,MPA,MPA,7,8,0,10,6,2,7,2,1,2
1485x2830,MPA,MPA,7,3,1,0,2,2,4,2,1,0
1486x2882,MPA,MPA,7,3,7,0,2,1,4,2,1,0
1492x2894,MPA,MPA,7,1,7,13,2,2,2,2,1,6
1496x2727,MPN,MPN,3,4,0,20,2,2,3,3,1,3
1496x2819,MPN,MPN,3,1,1,7,2,2,2,2,1,3
1319x2751,MPA,MPA,4,5,0,3,4,1,5,3,3,5
1339x2814,MPA,MPA,4,3,0,0,4,1,4,3,3,0
1379x2870,MPA,MPA,7,3,7,0,4,1,4,3,3,0
1408x2812,MPA,MPA,7,3,0,0,4,1,4,3,3,0
1431x2878,MPA,MPA,4,2,0,5,2,1,3,3,3,6
1452x2840,MPA,MPA,3,4,0,5,2,2,3,2,3,3
1474x2873,MPA,MPA,7,3,7,0,2,2,4,2,1,0
1311x2828,MPA,MPA,4,8,7,10,4,1,3,3,3,5
1332x2713,MPA,MPA,8,8,7,10,6,1,7,3,3,2
1341x2716,MPA,MPA,8,8,7,10,6,1,7,3,3,2
1386x2825,MPA,MPA,4,1,0,14,4,1,2,3,3,6
1393x2884,MPA,MPA,7,8,7,10,6,1,7,3,3,2
1477x2805,MPA,MPA,3,4,1,5,2,2,1,2,1,3
1461x2744,MPA,MPA,3,2,0,1,5,1,3,3,3,6
1380x2809,MPA,MPA,4,5,0,16,4,1,5,3,3,5
1387x2725,MPA,MPA,4,2,7,1,4,1,3,3,3,3
1406x2720,MPA,MPA,4,1,0,5,5,1,2,3,3,3
1431x2733,MPA,MPA,3,5,0,16,5,1,7,3,3,5
1434x2895,MPA,MPA,4,8,7,10,6,1,7,3,3,2
1440x2862,MPA,MPA,4,1,0,13,2,2,2,3,3,6
1446x2781,MPA,MPA,3,0,0,14,5,1,3,3,3,3
1318x3010,MPA,MPA,3,2,3,1,2,1,3,2,1,3
1319x2969,MPA,MPA,3,2,3,13,5,1,2,3,1,6
1320x3035,MPA,MPA,3,4,3,20,2,2,3,2,1,3
1325x3038,MPA,MPA,3,4,3,20,2,2,3,2,1,3
1334x3086,MPA,MPA,3,4,3,5,2,2,1,2,1,3
1344x2913,MPA,MPA,4,9,0,17,4,1,8,3,3,0
1350x3037,MPA,MPA,3,0,3,4,2,2,0,2,1,1
1358x2950,MPA,MPA,3,0,3,7,2,2,3,3,1,3
1361x3052,MPA,MPA,3,4,3,5,2,2,0,2,1,3
1365x3017,MPA,MPA,3,9,3,17,2,2,1,2,1,3
1377x2972,MPA,MPA,3,4,0,5,2,2,1,2,1,3
1379x2934,MPA,MPA,3,10,7,21,2,2,9,3,1,6
1382x3027,MPA,MPA,3,0,3,4,2,2,3,2,1,3
1388x3078,MPA,MPA,3,4,3,5,2,2,1,2,1,3
1389x3065,MPA,MPA,3,1,3,13,2,2,1,2,1,6
1401x2943,MPA,MPA,7,3,7,0,2,2,4,2,1,0
1402x2978,MPA,MPA,3,4,0,5,2,2,3,2,1,3
1404x3093,MPA,MPA,3,4,3,5,2,2,1,2,1,3
1413x3071,MPA,MPA,3,2,3,1,2,2,1,2,1,3
1416x3052,MPA,MPA,3,1,3,7,2,2,2,2,1,3
1417x3009,MPA,MPA,3,1,0,7,2,2,2,2,1,6
1423x2999,MPA,MPA,4,5,0,16,7,2,5,2,1,5
1433x3003,MPA,MPA,4,5,0,16,2,2,5,2,1,5
1439x3009,MPA,MPA,4,3,0,0,2,2,4,2,1,0
1439x3061,MPA,MPA,3,2,1,1,2,2,3,2,1,1
1439x2960,MPA,MPA,3,5,0,0,2,2,4,2,1,0
1437x3092,MPN,MPN,3,1,1,7,2,2,3,2,1,3
1447x3001,MPA,MPA,4,5,0,16,7,2,5,2,1,5
1450x3087,MPN,MPN,3,3,1,0,2,2,4,2,1,0
1453x2976,MPA,MPA,3,4,0,5,2,2,1,2,1,3
1455x2943,MPA,MPA,3,4,0,5,2,2,1,2,1,3
1459x3007,MPA,MPA,4,5,1,3,2,2,5,2,1,5
1457x3050,MPA,MPA,7,3,1,0,2,2,4,2,1,0
1464x2972,MPA,MPA,3,4,0,5,2,2,1,2,1,3
1465x2918,MPA,MPA,8,8,0,10,6,2,7,2,1,2
1463x3071,MPN,MPN,3,1,1,7,2,2,2,2,1,6
1464x3055,MPN,MPN,7,3,1,0,2,2,4,2,1,0
1469x3024,MPN,MPN,3,4,1,5,2,2,1,2,1,3
1471x3022,MPN,MPN,3,4,1,5,2,2,1,2,1,3
1480x2951,MPN,MPN,3,2,0,1,2,2,3,2,1,3
1479x3050,MPN,MPN,3,1,1,7,2,2,2,2,1,6
1486x3094,MPN,MPN,3,1,1,7,2,2,2,2,1,3
1489x2970,MPN,MPN,3,9,3,17,2,2,8,2,1,0
1326x2992,MPA,MPA,3,1,3,13,2,1,3,2,1,6
1341x3028,MPA,MPA,3,5,3,3,2,2,5,2,1,5
1386x2985,MPA,MPA,3,0,0,4,2,2,0,2,1,1
1478x3005,MPN,MPN,3,4,1,5,2,2,1,2,1,3
1495x3032,MPN,MPN,3,1,1,7,2,2,2,2,1,6
1342x2982,MPA,MPA,3,2,3,1,2,1,3,2,1,3
1341x2946,MPA,MPA,8,8,3,10,6,1,7,3,1,2
1364x2966,MPA,MPA,3,9,3,17,2,2,8,2,1,0
1482x2937,MPN,MPN,3,3,0,0,2,2,4,2,1,0
1323x3047,MPA,MPA,3,8,3,10,6,2,7,2,1,2
1358x3076,MPA,MPA,3,4,3,5,2,2,1,2,1,3
1415x2972,MPA,MPA,7,5,0,16,7,2,5,2,1,5
1447x3026,MPA,MPA,3,1,1,7,2,2,2,2,1,6
1316x2989,MPA,MPA,3,5,3,3,2,1,5,3,1,5
1327x2925,MPA,MPA,4,2,0,14,4,1,3,3,3,6
1345x3047,MPA,MPA,3,1,3,7,2,2,2,2,1,6
1362x3005,MPA,MPA,3,4,6,5,2,2,1,2,1,3
1408x3068,MPA,MPA,3,4,3,5,2,2,1,2,1,3
1448x2929,MPA,MPA,4,2,0,5,2,2,3,2,1,3
1397x3027,MPA,MPA,3,4,6,7,2,2,2,2,1,3
1404x3004,MPA,MPA,3,4,0,5,2,2,0,2,1,3
1310x3157,MPA,MPA,3,2,8,1,2,2,3,2,1,3
1320x3158,MPA,MPA,3,2,8,14,2,2,3,2,1,3
1326x3211,MPA,MPA,3,0,0,8,2,2,3,2,1,3
1326x3177,MPA,MPA,4,5,8,16,7,2,5,2,1,5
1329x3131,MPA,MPA,3,2,8,1,2,2,3,2,1,7
1329x3224,MPA,MPA,3,5,0,3,2,2,5,2,1,5
1326x3201,MPA,MPA,3,2,0,1,2,2,3,2,1,3
1342x3232,MPA,MPA,7,3,0,0,2,2,4,2,1,0
1345x3243,MPA,MPA,3,9,1,17,2,2,4,2,1,0
1348x3157,MPA,MPA,3,2,8,1,2,2,3,2,1,3
1360x3199,MPA,MPA,8,2,3,5,2,2,3,2,1,3
1358x3253,MPA,MPA,3,4,1,5,2,2,1,2,1,3
1359x3208,MPA,MPA,8,8,3,10,6,2,7,2,1,2
1359x3282,MPA,MPA,7,4,1,5,2,2,1,2,2,3
1357x3167,MPA,MPA,3,4,3,20,2,2,3,2,1,3
1361x3241,MPA,MPA,3,1,1,7,2,2,2,2,1,3
1363x3276,MPA,MPA,7,3,1,0,2,2,4,2,2,0
1381x3267,MPA,MPA,3,1,1,7,2,2,2,2,2,6
1381x3170,MPA,MPA,3,0,3,8,2,2,0,2,1,3
1383x3193,MPA,MPA,4,4,3,5,2,2,3,2,1,3
1388x3149,MPA,MPA,3,2,3,19,2,2,0,2,1,3
1392x3295,MPA,MPA,3,2,3,1,2,2,3,1,2,3
1397x3203,MPA,MPA,4,1,3,12,2,2,2,2,1,6
1398x3120,MPA,MPA,3,4,3,5,2,2,1,2,1,3
1405x3156,MPA,MPA,3,1,3,7,2,2,0,2,1,6
1409x3223,BST,BST,1,0,6,4,2,2,0,2,1,1
1410x3178,MPA,MPA,3,4,3,5,2,2,1,2,1,3
1419x3118,MPA,MPA,3,5,3,3,2,2,5,2,1,5
1429x3114,MPA,MPA,3,0,3,4,2,2,0,2,1,1
1429x3192,BST,BST,3,0,6,4,2,2,0,2,1,1
1436x3271,BST,BST,4,5,6,16,1,2,5,1,2,5
1439x3219,BST,BST,3,9,6,17,2,2,9,1,1,3
1442x3291,BST,BST,4,5,6,3,1,0,5,1,2,5
1445x3134,MPA,MPA,3,1,3,14,2,2,0,2,1,6
1449x3220,BST,BST,3,10,6,21,2,2,9,1,1,3
1450x3271,BST,BST,3,2,6,5,1,0,0,1,2,3
1454x3236,BST,BST,3,0,6,4,2,0,4,1,2,1
1457x3269,BST,BST,3,0,6,14,1,0,0,1,2,1
1454x3168,MPA,MPA,3,1,3,12,2,2,2,2,1,6
1458x3135,MPA,MPA,3,4,0,5,2,2,3,2,1,3
1463x3265,BST,BST,1,0,6,14,1,0,0,1,2,1
1480x3261,BST,BST,3,0,6,4,1,0,4,1,2,1
1492x3233,BST,BST,3,2,2,1,1,0,3,1,2,3
1356x3268,MPA,MPA,3,10,1,21,2,2,9,2,1,0
1371x3298,MPA,MPA,4,5,1,16,2,2,5,2,2,5
1418x3255,BST,BST,1,5,0,16,2,2,5,2,1,5
1449x3289,BST,BST,7,3,6,0,1,0,4,1,2,0
1468x3159,MPA,MPA,3,2,0,1,2,2,3,1,1,3
1351x3196,MPA,MPA,8,2,3,1,2,2,3,2,1,3
1373x3205,MPA,MPA,4,9,3,17,2,2,5,2,1,0
1380x3203,MPA,MPA,4,5,3,16,2,2,5,2,1,5
1398x3254,BST,BST,3,0,1,4,2,2,0,2,1,1
1430x3175,MPA,MPA,8,8,1,10,6,2,7,2,1,2
1462x3239,BST,BST,3,3,6,0,2,0,4,1,2,0
1482x3277,BST,BST,7,3,6,0,1,0,4,1,2,0
1487x3283,BST,BST,4,10,6,21,1,0,4,1,2,0
1489x3258,BST,BST,7,3,6,0,1,0,4,1,2,0
1313x3137,MPA,MPA,3,4,8,5,2,2,3,2,1,3
1337x3263,MPA,MPA,3,5,1,3,2,2,5,2,1,5
1368x3176,MPA,MPA,3,0,3,8,2,2,0,2,1,1
1437x3232,BST,BST,1,9,6,17,2,2,8,1,1,1
1379x3259,MPA,MPA,3,1,1,7,2,2,2,2,1,3
1390x3168,MPA,MPA,3,4,3,5,2,2,1,2,1,3
1433x3206,BST,BST,3,1,6,7,2,2,2,2,1,6
1315x3441,BST,BST,1,2,3,14,1,0,0,1,2,1
1320x3324,BST,BST,4,10,6,21,2,2,5,1,2,5
1325x3331,BST,BST,4,5,6,3,2,2,5,1,2,5
1332x3355,BST,BST,1,0,6,8,2,0,4,1,2,1
1344x3320,BST,BST,4,4,6,5,2,2,1,1,2,3
1340x3422,BST,BST,1,0,2,1,1,0,0,1,2,6
1356x3372,BST,BST,1,0,6,13,1,0,3,1,2,1
1374x3438,BST,BST,1,3,6,0,1,0,4,1,2,0
1377x3489,BST,BST,1,0,6,4,1,0,0,1,2,1
1379x3417,BST,BST,1,0,6,4,1,0,0,1,2,1
1380x3368,BST,BST,4,0,6,4,1,0,2,1,2,1
1383x3471,BST,BST,4,0,6,4,1,0,0,1,2,1
1383x3349,BST,BST,4,0,6,8,1,0,0,1,2,1
1386x3337,BST,BST,1,3,6,0,1,0,4,1,2,0
1391x3453,BST,BST,1,1,6,12,1,0,2,1,2,6
1401x3439,BST,BST,1,9,6,17,1,0,8,1,2,1
1403x3411,BST,BST,1,5,6,3,1,0,5,1,2,5
1410x3358,BST,BST,1,9,6,17,1,0,8,1,2,1
1422x3334,BST,BST,1,0,6,4,1,0,0,1,2,1
1423x3364,BST,BST,1,0,6,2,1,0,0,1,2,1
1426x3420,BST,BST,1,0,6,4,1,0,0,1,2,1
1430x3449,BST,BST,1,3,6,0,1,0,4,1,2,0
1435x3358,BST,BST,1,0,6,14,1,0,0,1,2,1
1440x3347,BST,BST,1,0,6,16,1,0,0,1,2,1
1443x3448,BST,BST,1,0,6,2,1,0,3,1,2,1
1455x3463,BST,BST,1,0,6,8,1,0,0,1,2,1
1460x3488,BST,BST,1,0,6,4,1,0,0,1,2,1
1468x3437,BST,BST,3,0,6,14,1,0,0,1,2,1
1473x3408,BST,BST,1,0,6,4,1,0,0,1,2,1
1480x3435,BST,BST,1,3,6,0,1,0,4,1,2,0
1486x3380,BST,BST,1,0,6,4,1,0,0,1,2,1
1491x3344,BST,BST,1,0,6,4,1,0,0,1,2,1
1494x3438,BST,BST,1,5,2,3,1,0,5,1,2,5
1348x3366,BST,BST,1,0,6,4,1,0,0,1,2,1
1367x3475,BST,BST,8,8,6,10,6,0,7,1,2,2
1371x3370,BST,BST,4,5,6,16,1,0,5,1,2,5
1398x3326,BST,BST,1,0,6,4,1,0,0,1,2,1
1421x3402,BST,BST,1,0,6,2,1,0,0,1,2,1
1417x3469,BST,BST,1,0,6,14,1,0,0,1,2,1
1449x3424,BST,BST,1,0,6,4,1,0,0,1,2,1
1463x3408,BST,BST,1,0,6,4,1,0,0,1,2,1
1361x3428,BST,BST,1,0,0,2,1,0,0,1,2,1
1440x3493,BST,BST,1,0,6,4,1,0,0,1,2,1
1454x3337,BST,BST,3,1,6,12,1,0,2,1,2,6
1474x3444,BST,BST,1,0,6,2,1,0,0,1,2,1
1491x3392,BST,BST,1,0,6,4,1,0,0,1,2,1
1378x3451,BST,BST,7,3,6,0,1,0,4,1,2,0
1337x3356,BST,BST,1,3,6,0,2,0,4,1,2,0
1347x3336,BST,BST,1,0,6,2,2,0,0,1,2,1
1351x3445,BST,BST,1,0,6,8,1,0,0,1,2,3
1355x3360,BST,BST,1,5,6,17,1,0,0,1,2,1
1415x3436,BST,BST,1,0,6,14,1,0,0,1,2,1
1422x3453,BST,BST,1,0,6,4,1,0,4,1,2,1
1438x3324,BST,BST,3,0,6,14,1,0,0,1,2,1
