,ground_truth,ground_truth,Graphst,Leiden,MENDER,SCANPY,SEDR,SpaceFlow,SpaGCN,STAGATE,stGCL,stLearn
1262x-852,MPA,MPA,4,5,8,15,1,5,4,5,3,1
1259x-764,MPA,MPA,7,3,5,0,3,5,3,5,3,7
1267x-688,MPA,MPA,3,1,5,14,4,5,2,6,2,2
1329x-728,MPA,MPA,3,2,3,3,4,1,1,2,2,0
1329x-749,MPA,MPA,3,3,3,0,3,5,3,2,2,7
1152x-851,MPA,MPA,4,5,8,15,1,5,4,5,3,1
1204x-687,MPA,MPA,4,5,5,6,3,5,4,6,3,1
1211x-800,MPA,MPA,4,5,8,15,1,5,4,5,3,1
1245x-843,MPA,MPA,4,5,8,15,1,5,2,5,3,4
1269x-855,MPA,MPA,4,5,8,15,1,5,4,5,3,1
1307x-715,MPA,MPA,2,2,3,3,4,1,1,2,2,0
1167x-754,MPA,MPA,3,5,2,15,3,5,4,5,3,7
1171x-755,MPA,MPA,3,5,5,15,3,5,4,5,3,7
1154x-719,MPA,MPA,3,9,8,12,3,5,6,5,3,7
1287x-773,MPA,MPA,7,3,5,0,3,5,3,5,3,7
1300x-775,MPA,MPA,7,3,5,0,3,5,3,5,3,7
1164x-858,MPA,MPA,4,5,8,15,1,5,4,5,3,1
1171x-841,MPA,MPA,4,5,8,6,1,5,4,5,3,1
1169x-861,MPA,MPA,4,5,8,15,1,5,4,5,3,1
1185x-829,MPA,MPA,4,5,8,15,1,5,4,5,3,1
1240x-792,MPA,MPA,4,5,8,15,1,5,4,5,3,1
1244x-813,MPA,MPA,4,5,8,15,1,5,4,5,3,1
1256x-805,MPA,MPA,4,5,8,15,1,5,4,5,3,1
1271x-766,MPA,MPA,7,3,5,0,3,5,3,5,3,7
1274x-733,MPA,MPA,3,9,3,12,3,5,9,6,3,7
1279x-767,MPA,MPA,7,3,5,0,3,5,3,5,3,7
1294x-735,MPA,MPA,3,5,3,6,3,5,4,2,3,1
1298x-720,MPA,MPA,3,6,3,7,4,5,6,2,2,3
1173x-822,MPA,MPA,4,5,8,15,1,5,4,5,3,1
1166x-591,MPA,MPA,2,10,2,21,4,5,10,5,2,7
1168x-515,MPA,MPA,3,3,2,0,3,1,3,2,2,7
1173x-495,MPA,MPA,3,0,2,1,4,1,2,2,2,2
1177x-589,MPA,MPA,2,0,2,19,4,1,1,2,2,0
1180x-636,MPA,MPA,3,0,3,1,4,5,0,2,2,6
1197x-492,MPA,MPA,3,3,3,0,3,1,3,2,2,7
1203x-635,MPA,MPA,3,3,3,0,3,5,3,5,2,7
1204x-651,MPA,MPA,3,3,3,0,3,5,3,6,2,7
1206x-536,MPA,MPA,2,6,1,7,4,1,6,2,2,3
1210x-577,MPA,MPA,2,6,3,7,4,1,6,5,2,3
1210x-521,MPA,MPA,2,1,1,4,4,1,2,2,2,2
1212x-500,MPA,MPA,3,0,3,19,4,1,3,2,2,2
1220x-556,MPA,MPA,2,2,3,8,4,1,1,2,2,0
1219x-509,MPA,MPA,3,3,1,0,4,1,3,2,2,7
1221x-483,MPA,MPA,2,2,1,8,4,1,1,2,2,0
1229x-594,MPA,MPA,2,1,3,4,4,1,2,2,2,2
1234x-605,MPA,MPA,8,6,3,7,4,1,6,2,2,3
1236x-512,MPA,MPA,2,2,1,3,4,1,1,2,2,0
1245x-630,MPA,MPA,2,1,3,9,4,1,2,2,2,2
1245x-521,MPA,MPA,2,2,3,3,4,1,1,2,2,0
1249x-486,MPA,MPA,2,0,1,19,4,1,1,2,2,0
1251x-576,MPA,MPA,2,1,3,4,4,1,2,2,2,2
1258x-586,MPA,MPA,2,1,3,4,4,1,2,2,2,2
1261x-663,MPA,MPA,3,1,3,9,4,1,2,6,2,2
1269x-500,MPA,MPA,2,1,1,4,4,1,2,2,2,2
1280x-546,MPA,MPA,3,3,1,0,3,1,3,2,2,7
1280x-536,MPA,MPA,3,3,1,0,3,1,3,2,2,7
1283x-589,MPA,MPA,2,1,3,9,4,1,2,2,2,2
1284x-522,MPA,MPA,4,5,1,6,3,1,4,2,2,1
1288x-611,MPA,MPA,2,0,3,19,4,1,1,2,2,0
1287x-572,MPA,MPA,4,5,3,6,3,1,4,2,2,1
1295x-660,MPA,MPA,2,1,3,4,4,1,2,2,2,2
1296x-533,MPA,MPA,2,1,1,4,4,1,2,2,2,2
1301x-489,MPA,MPA,4,10,1,21,3,1,4,2,2,7
1309x-579,MPA,MPA,4,5,3,15,3,1,4,2,2,1
1308x-526,MPA,MPA,2,2,1,8,4,1,1,2,2,0
1312x-626,MPA,MPA,2,0,3,19,4,1,0,2,2,2
1311x-537,MPA,MPA,2,1,3,4,4,1,2,2,2,2
1313x-663,MPA,MPA,2,1,3,9,4,1,2,2,2,2
1314x-559,MPA,MPA,2,6,3,7,4,1,6,2,2,3
1322x-514,MPA,MPA,2,1,1,9,4,1,2,2,2,0
1332x-609,MPA,MPA,3,1,3,9,4,1,2,2,2,2
1335x-569,MPA,MPA,2,1,3,4,4,1,2,2,2,2
1164x-620,MPA,MPA,2,0,2,19,4,5,0,2,2,6
1166x-554,MPA,MPA,2,2,3,3,4,1,1,5,2,0
1211x-644,MPA,MPA,4,5,3,6,3,5,4,6,2,1
1228x-605,MPA,MPA,2,0,3,19,4,1,10,2,2,0
1274x-614,MPA,MPA,2,10,3,21,4,1,10,2,2,7
1298x-631,MPA,MPA,2,0,3,19,4,1,0,2,2,2
1313x-594,MPA,MPA,2,0,3,1,4,1,0,2,2,2
1215x-536,MPA,MPA,2,0,1,19,4,1,6,2,2,0
1233x-662,MPA,MPA,4,5,5,6,3,5,4,6,2,1
1241x-577,MPA,MPA,2,2,3,3,4,1,1,2,2,0
1244x-644,MPA,MPA,3,1,5,14,4,5,2,6,2,2
1295x-485,MPA,MPA,4,5,1,6,3,1,4,2,2,1
1296x-620,MPA,MPA,2,1,3,4,4,1,2,2,2,2
1332x-591,MPA,MPA,2,1,3,14,4,1,2,2,2,2
1189x-648,MPA,MPA,3,1,3,14,4,2,2,6,2,2
1200x-511,MPA,MPA,3,5,1,15,3,1,3,2,2,7
1226x-648,MPA,MPA,4,1,3,9,4,5,2,6,2,2
1247x-561,MPA,MPA,2,1,3,9,4,1,2,2,2,2
1269x-484,MPA,MPA,2,2,1,8,4,1,1,2,2,0
1283x-641,MPA,MPA,2,1,3,14,4,1,2,2,2,2
1295x-593,MPA,MPA,2,0,3,1,4,1,0,2,2,6
1311x-503,MPA,MPA,2,2,1,3,4,1,1,2,2,0
1149x-390,MPA,MPA,3,0,3,19,4,1,1,2,2,0
1152x-297,MPA,MPA,2,2,3,3,4,1,1,2,2,0
1168x-421,MPA,MPA,2,6,3,7,4,1,6,2,2,3
1183x-398,MPA,MPA,2,1,3,4,4,1,2,2,2,2
1187x-440,MPA,MPA,2,1,2,14,4,1,2,2,2,2
1192x-391,MPA,MPA,2,2,1,3,4,1,1,2,2,0
1196x-389,MPA,MPA,2,2,1,3,4,1,1,2,2,0
1205x-446,MPA,MPA,2,0,2,19,4,1,1,2,2,0
1207x-376,MPA,MPA,2,5,3,6,4,1,4,2,2,1
1210x-408,MPA,MPA,2,1,1,4,4,1,2,2,2,2
1216x-317,MPA,MPA,3,3,3,0,4,1,3,2,2,7
1226x-332,MPA,MPA,2,2,3,3,4,1,1,2,2,5
1231x-360,MPA,MPA,2,2,3,3,4,1,9,2,2,0
1233x-425,MPA,MPA,2,2,3,8,4,1,1,2,2,0
1233x-446,MPA,MPA,2,1,3,14,4,1,2,2,2,2
1243x-420,MPA,MPA,2,1,1,4,4,1,2,2,2,2
1249x-395,MPA,MPA,3,3,1,0,4,1,3,2,2,7
1251x-281,MPN,MPN,2,3,3,0,3,1,3,2,2,7
1260x-415,MPA,MPA,2,4,1,20,4,1,5,2,2,5
1271x-454,MPA,MPA,3,3,1,0,3,1,3,2,2,7
1273x-287,MPN,MPN,2,0,3,22,4,1,0,2,2,0
1274x-306,MPN,MPN,2,1,3,4,4,1,2,2,2,2
1283x-375,MPN,MPN,2,3,1,0,4,1,3,2,2,7
1287x-279,MPN,MPN,1,3,3,0,4,1,3,2,2,7
1289x-441,MPA,MPA,3,1,1,9,4,1,2,2,2,2
1291x-329,MPN,MPN,2,4,3,16,4,1,1,2,2,0
1295x-314,MPN,MPN,2,2,3,3,4,1,1,2,2,0
1301x-436,MPN,MPN,3,3,1,0,3,1,3,2,2,7
1305x-452,MPN,MPN,2,2,1,8,4,1,2,2,2,0
1307x-422,MPN,MPN,2,2,1,8,4,1,1,2,2,0
1307x-394,MPN,MPN,2,0,1,22,4,1,0,2,2,0
1307x-291,MPN,MPN,1,1,3,4,4,1,2,2,2,2
1314x-347,MPN,MPN,2,2,3,3,4,1,1,2,2,0
1321x-466,MPN,MPN,2,1,1,4,4,1,2,2,2,2
1325x-414,MPN,MPN,2,1,1,18,4,1,2,2,2,0
1325x-323,MPN,MPN,2,2,3,3,4,1,1,2,2,0
1171x-306,MPA,MPA,3,3,3,0,4,1,3,2,2,7
1195x-345,MPA,MPA,2,2,3,3,4,1,1,2,2,0
1200x-351,MPA,MPA,2,2,3,3,4,1,1,2,2,0
1220x-348,MPA,MPA,2,1,3,4,4,1,2,2,2,2
1222x-355,MPA,MPA,2,9,3,12,4,1,9,2,2,2
1249x-306,MPN,MPN,2,2,3,3,4,1,1,2,2,0
1318x-318,MPN,MPN,2,10,3,21,4,1,1,2,2,0
1180x-350,MPA,MPA,2,2,3,3,4,1,1,2,2,0
1212x-332,MPA,MPA,2,1,3,14,4,1,2,2,2,2
1258x-346,MPN,MPN,2,2,3,8,4,1,1,2,2,0
1256x-340,MPN,MPN,2,2,3,13,4,1,1,2,2,0
1289x-301,MPN,MPN,2,1,3,4,4,1,2,2,2,2
1314x-338,MPN,MPN,2,2,3,8,4,1,1,2,2,0
1315x-380,MPN,MPN,2,2,1,3,4,0,1,2,2,0
1201x-305,MPA,MPA,3,2,3,3,4,1,1,2,2,0
1240x-388,MPA,MPA,3,6,3,7,4,1,6,2,2,3
1284x-401,MPN,MPN,2,0,1,19,4,1,1,2,2,0
1165x-404,MPA,MPA,2,0,3,19,4,1,0,2,2,0
1198x-364,MPA,MPA,2,1,3,4,4,1,2,2,2,2
1223x-365,MPA,MPA,2,9,3,12,4,1,9,2,2,7
1240x-394,MPA,MPA,3,3,1,0,4,1,6,2,2,2
1308x-359,MPN,MPN,2,2,3,8,4,1,1,2,2,0
1157x-252,MPA,MPA,2,0,1,8,4,1,2,2,2,0
1160x-80,MPA,MPA,3,6,2,7,4,1,6,2,2,3
1174x-112,MPA,MPA,3,5,8,15,3,5,4,2,2,1
1187x-99,MPA,MPA,3,3,8,0,4,1,3,2,2,7
1188x-159,MPA,MPA,3,4,1,16,4,1,3,2,2,0
1195x-209,MPA,MPA,2,2,1,3,4,1,1,2,2,0
1200x-247,MPA,MPA,3,9,1,12,4,1,0,2,2,0
1204x-154,MPA,MPA,3,5,1,6,3,5,4,2,2,1
1211x-213,MPA,MPA,3,3,5,0,3,1,3,2,2,7
1214x-176,MPA,MPA,3,3,1,0,3,1,3,2,2,7
1216x-249,MPA,MPA,3,3,1,0,4,1,3,2,2,7
1240x-90,MPA,MPA,3,3,2,0,3,1,3,2,2,7
1241x-266,MPA,MPA,2,1,3,4,4,1,2,2,2,2
1257x-184,MPA,MPA,2,2,3,8,4,1,1,2,2,0
1262x-169,MPA,MPA,2,0,1,8,4,1,1,2,2,0
1268x-240,MPA,MPA,2,10,0,21,4,1,10,2,2,7
1271x-104,MPA,MPA,2,1,1,9,4,1,2,2,2,2
1274x-126,MPA,MPA,2,2,1,8,4,1,1,2,2,0
1279x-134,MPA,MPA,2,2,1,8,4,1,1,2,2,0
1279x-87,MPA,MPA,2,2,1,8,4,1,1,2,2,0
1282x-155,MPA,MPA,4,5,1,6,3,1,4,2,2,1
1281x-169,MPA,MPA,2,1,1,14,4,1,2,2,2,2
1288x-218,MPA,MPA,2,9,0,12,4,1,9,2,2,6
1293x-110,MPA,MPA,2,6,1,7,4,1,6,6,2,3
1292x-169,MPA,MPA,2,5,1,6,4,1,4,2,2,1
1306x-203,MPN,MPN,2,1,1,9,4,1,2,2,2,2
1302x-227,MPN,MPN,2,2,0,3,4,1,0,2,2,0
1310x-173,MPA,MPA,2,6,1,7,4,1,6,2,2,3
1318x-112,MPA,MPA,2,9,1,12,4,1,9,6,2,5
1174x-252,MPA,MPA,2,1,1,9,4,1,2,2,2,2
1202x-148,MPA,MPA,3,3,1,0,3,5,3,2,2,7
1220x-101,MPA,MPA,3,5,2,6,3,1,4,6,2,1
1319x-205,MPN,MPN,2,1,1,4,4,0,2,2,2,2
1321x-225,MPN,MPN,2,2,1,8,4,0,1,2,2,0
1155x-156,MPA,MPA,2,6,1,7,4,1,6,5,2,3
1156x-182,MPA,MPA,2,2,1,8,4,1,1,2,2,0
1178x-192,MPA,MPA,2,9,1,12,4,1,0,2,2,0
1193x-151,MPA,MPA,3,3,1,0,3,5,3,2,2,7
1223x-118,MPA,MPA,3,6,0,7,4,5,6,2,2,3
1242x-219,MPA,MPA,3,3,5,0,3,1,3,2,2,7
1247x-107,MPA,MPA,3,1,2,9,4,1,2,2,2,0
1261x-265,MPN,MPN,2,1,3,4,4,1,2,2,2,2
1275x-255,MPN,MPN,2,0,3,1,4,1,0,2,2,6
1291x-240,MPN,MPN,2,1,0,9,4,1,2,2,2,2
1164x-268,MPA,MPA,2,2,1,3,4,1,2,2,2,0
1164x-217,MPA,MPA,2,2,1,3,4,1,1,2,2,0
1183x-154,MPA,MPA,3,4,1,16,4,1,1,2,2,0
1308x-149,MPA,MPA,2,1,1,9,4,1,2,6,2,2
1324x-159,MPA,MPA,2,1,1,9,4,1,2,2,2,2
1149x90,MPA,MPA,2,1,3,16,4,1,2,2,2,2
1156x-60,MPA,MPA,2,2,2,8,4,1,1,2,2,0
1155x50,MPA,MPA,2,2,1,3,4,1,0,2,2,6
1156x2,MPA,MPA,2,0,3,1,4,1,1,2,2,6
1163x-12,MPA,MPA,2,0,3,1,4,1,1,2,2,0
1170x64,MPA,MPA,2,2,1,8,4,1,1,2,2,0
1173x-57,MPA,MPA,2,2,2,13,4,1,1,2,2,0
1174x42,MPA,MPA,2,0,0,1,4,1,1,2,2,0
1180x24,MPA,MPA,2,4,3,16,4,1,1,2,2,0
1196x103,MPA,MPA,2,0,0,1,6,1,0,2,2,6
1199x74,MPA,MPA,2,0,0,5,4,1,1,2,2,0
1197x61,MPA,MPA,2,1,0,9,4,1,6,2,2,2
1199x52,MPA,MPA,2,6,0,7,4,1,6,2,2,3
1202x-37,MPA,MPA,2,3,0,0,3,1,3,2,2,7
1201x-61,MPA,MPA,2,1,0,9,4,1,2,2,2,2
1203x11,MPA,MPA,3,3,0,0,3,1,3,2,2,7
1206x114,MPA,MPA,3,3,0,0,3,1,3,2,2,7
1216x34,MPA,MPA,2,0,0,22,4,1,0,2,2,6
1217x91,MPA,MPA,2,2,0,8,4,1,1,2,2,0
1230x1,MPA,MPA,2,0,0,2,6,1,0,2,2,6
1232x49,MPA,MPA,2,1,0,9,4,1,2,2,2,2
1259x-15,MPA,MPA,2,4,0,20,4,1,5,2,2,5
1260x-34,MPA,MPA,2,2,0,3,4,1,1,2,2,0
1263x100,MPA,MPA,2,2,0,8,4,1,1,2,2,0
1262x78,MPA,MPA,2,3,0,0,3,1,3,2,2,7
1276x-43,MPA,MPA,2,4,0,16,4,1,1,2,2,0
1276x87,MPA,MPA,2,0,0,1,6,2,0,2,2,6
1282x109,MPA,MPA,2,2,0,8,4,2,1,2,2,0
1289x-26,MPA,MPA,1,3,0,0,3,1,3,2,2,7
1285x28,MPA,MPA,1,1,1,9,4,1,2,2,2,2
1289x-57,MPA,MPA,3,10,1,21,4,1,10,2,2,7
1297x28,MPA,MPA,2,2,1,8,4,3,1,2,2,0
1297x113,MPA,MPA,4,5,0,6,3,2,4,2,2,1
1302x17,MPA,MPA,2,0,1,2,6,3,1,1,2,0
1308x-26,MPA,MPA,3,6,0,7,4,2,6,2,2,3
1314x37,MPA,MPA,2,2,1,8,4,3,1,2,2,0
1314x95,MPA,MPA,3,1,1,4,6,2,3,2,2,2
1318x50,MPA,MPA,1,0,1,17,6,3,1,1,2,6
1322x60,MPA,MPA,4,5,1,6,3,2,4,2,2,1
1325x30,MPA,MPA,4,5,1,6,3,3,4,2,2,1
1162x34,MPA,MPA,2,0,3,22,4,1,0,2,2,6
1195x38,MPA,MPA,2,1,0,9,4,1,2,2,2,2
1198x-15,MPA,MPA,3,0,0,22,4,1,0,2,2,6
1219x69,MPA,MPA,2,0,0,22,6,1,0,2,2,6
1246x30,MPA,MPA,4,5,0,15,3,1,4,2,2,1
1246x41,MPA,MPA,4,5,0,15,3,1,4,2,2,1
1316x87,MPA,MPA,3,3,1,0,3,2,3,2,2,7
1300x52,MPA,MPA,1,0,1,2,6,3,0,1,2,6
1174x7,MPA,MPA,2,0,3,22,4,1,1,2,2,0
1180x10,MPA,MPA,2,2,3,3,4,1,1,2,2,0
1181x85,MPA,MPA,2,0,0,1,4,1,0,2,2,6
1213x-16,MPA,MPA,2,4,0,5,4,1,5,2,2,5
1226x17,MPA,MPA,3,0,0,1,4,1,0,2,2,6
1227x-12,MPA,MPA,2,4,0,20,4,1,5,2,2,5
1239x86,MPA,MPA,2,1,0,9,4,1,2,2,2,0
1240x-28,MPA,MPA,2,0,0,22,4,1,0,2,2,6
1256x4,MPA,MPA,2,0,0,17,6,1,0,2,2,6
1295x-37,MPA,MPA,1,0,0,1,6,2,0,2,2,6
1316x-31,MPA,MPA,3,0,0,22,4,3,0,2,2,6
1158x211,MPA,MPA,2,4,0,5,4,1,1,2,1,0
1161x175,MPA,MPA,2,2,0,8,4,1,1,2,2,0
1165x181,MPA,MPA,2,1,0,4,6,1,1,2,2,2
1178x265,BST,BST,2,0,0,1,4,2,0,1,1,6
1176x155,MPA,MPA,2,9,0,12,4,1,9,2,2,0
1185x169,MPA,MPA,2,0,0,19,6,1,0,2,2,0
1196x240,BST,BST,2,9,0,12,3,2,9,1,1,7
1195x292,BST,BST,2,0,0,1,4,2,0,1,1,6
1208x158,MPA,MPA,2,0,0,22,6,2,0,2,2,6
1212x255,BST,BST,2,4,0,1,3,2,0,1,1,0
1221x302,BST,BST,4,5,1,15,3,2,4,1,1,1
1224x225,BST,BST,1,0,1,17,6,2,0,1,1,6
1229x155,MPA,MPA,3,3,0,21,3,2,3,2,2,7
1230x185,BST,BST,1,0,0,1,6,2,0,1,1,6
1232x209,BST,BST,1,5,0,15,3,2,4,1,1,1
1233x304,BST,BST,2,0,2,2,6,2,0,1,1,6
1235x252,BST,BST,2,1,6,9,4,2,2,1,1,2
1249x173,MPA,MPA,1,0,0,1,6,2,0,1,1,6
1249x269,BST,BST,2,0,1,1,6,2,0,1,1,6
1253x245,BST,BST,2,2,1,8,4,2,1,1,1,0
1262x301,BST,BST,3,3,0,0,6,2,3,1,1,7
1270x310,BST,BST,3,3,0,0,6,2,3,1,1,7
1273x196,BST,BST,3,3,0,0,3,2,3,1,1,7
1277x290,BST,BST,3,9,0,12,3,2,9,1,1,7
1279x155,MPA,MPA,2,0,0,19,4,2,0,2,1,5
1288x207,BST,BST,3,0,0,1,6,2,0,1,1,6
1290x257,BST,BST,1,0,0,1,6,2,0,1,1,6
1289x267,BST,BST,1,1,0,0,3,2,3,1,1,2
1297x233,BST,BST,4,5,0,15,3,2,4,1,1,1
1302x170,BST,BST,2,0,0,17,6,2,0,1,1,6
1304x216,BST,BST,3,0,0,1,6,2,0,1,1,6
1304x245,BST,BST,4,0,0,1,6,2,2,1,1,6
1305x285,BST,BST,1,0,0,17,6,2,0,1,1,6
1306x181,BST,BST,2,0,0,2,6,2,0,1,1,6
1311x238,BST,BST,4,5,0,15,3,2,4,1,1,1
1319x203,BST,BST,1,3,0,0,3,2,3,1,1,7
1320x261,BST,BST,3,3,0,0,3,2,3,1,1,7
1320x166,BST,BST,2,2,0,3,4,2,0,1,1,0
1329x245,BST,BST,4,5,0,15,3,2,4,1,1,1
1332x262,BST,BST,3,3,0,0,3,2,3,1,1,7
1338x216,BST,BST,1,0,0,1,6,2,0,1,1,6
1178x271,BST,BST,2,1,1,4,4,2,0,1,1,2
1198x207,MPA,MPA,1,0,0,1,6,2,0,2,1,6
1205x187,MPA,MPA,1,0,0,2,6,2,0,2,1,6
1262x231,BST,BST,4,0,0,1,3,2,0,1,1,6
1285x232,BST,BST,4,5,0,15,3,2,4,1,1,1
1160x286,BST,BST,2,0,0,1,6,2,0,1,1,6
1166x235,BST,BST,2,1,0,4,4,2,2,2,1,2
1179x311,BST,BST,1,2,1,8,4,2,2,1,1,0
1193x314,BST,BST,4,5,1,6,3,2,4,1,1,1
1218x317,BST,BST,4,6,1,7,4,2,6,1,1,3
1250x315,BST,BST,3,3,0,0,3,2,3,1,1,7
1284x277,BST,BST,1,5,0,6,3,2,4,1,1,1
1304x316,BST,BST,4,5,0,6,3,2,4,1,1,1
1187x150,MPA,MPA,2,2,0,3,4,1,0,2,2,0
1183x192,MPA,MPA,2,0,0,8,4,1,0,2,1,0
1224x213,BST,BST,1,10,0,21,6,2,10,1,1,7
1235x139,MPA,MPA,3,9,0,12,3,2,9,2,2,7
1270x185,BST,BST,2,1,0,9,6,2,3,1,1,2
1302x296,BST,BST,4,0,0,17,6,2,0,1,1,6
1326x260,BST,BST,3,3,0,0,3,2,3,1,1,7
1330x279,BST,BST,3,0,0,1,6,2,0,1,1,6
1297x132,MPA,MPA,4,10,0,21,3,2,10,2,1,7
1156x488,BST,BST,1,0,6,17,3,2,0,1,1,6
1155x438,BST,BST,1,0,0,1,6,2,0,1,1,6
1163x514,BST,BST,1,0,6,1,6,2,0,1,1,6
1168x394,BST,BST,1,5,0,15,3,2,4,1,1,1
1170x458,BST,BST,1,0,0,1,6,2,0,1,1,6
1174x449,BST,BST,1,0,0,8,6,2,0,1,1,0
1182x426,BST,BST,1,0,0,1,6,2,0,1,1,6
1182x403,BST,BST,1,0,0,17,6,2,0,1,1,6
1191x356,BST,BST,1,0,0,1,6,2,0,1,1,6
1188x464,BST,BST,1,5,0,6,3,2,4,1,1,1
1193x385,BST,BST,1,0,0,17,6,2,0,1,1,6
1199x488,BST,BST,1,0,0,1,6,2,0,1,1,6
1204x453,BST,BST,4,5,0,15,3,2,4,1,1,1
1206x505,BST,BST,1,10,0,21,6,2,10,1,1,6
1207x419,BST,BST,4,5,0,6,3,2,4,1,1,1
1213x463,BST,BST,1,1,0,1,6,2,2,1,1,6
1222x428,BST,BST,4,3,0,0,6,2,3,1,1,7
1234x434,BST,BST,1,0,0,1,6,2,0,1,1,6
1234x468,BST,BST,1,0,0,1,6,2,0,1,1,6
1235x447,BST,BST,1,0,0,1,6,2,0,1,1,6
1247x463,BST,BST,1,0,0,2,6,2,0,1,1,6
1245x429,BST,BST,1,0,0,1,6,2,0,1,1,6
1246x440,BST,BST,1,0,0,1,6,2,0,1,1,6
1251x392,BST,BST,1,0,0,1,6,2,0,1,1,6
1260x505,BST,BST,1,0,0,17,6,2,0,1,1,6
1264x444,BST,BST,1,0,0,1,6,2,0,1,1,6
1266x352,BST,BST,3,0,0,1,6,2,0,1,1,6
1270x361,BST,BST,1,0,0,1,6,2,0,1,1,6
1273x410,BST,BST,1,0,0,1,6,2,0,1,1,6
1278x477,BST,BST,1,0,0,17,6,2,0,1,1,6
1277x459,BST,BST,1,0,0,1,6,2,0,1,1,6
1283x521,BST,BST,1,0,0,17,6,2,0,1,1,6
1284x507,BST,BST,1,0,0,2,6,2,0,1,1,6
1291x379,BST,BST,4,5,0,6,3,2,4,1,1,1
1294x484,BST,BST,1,0,0,1,6,2,0,1,1,6
1301x506,BST,BST,1,0,0,19,6,2,1,1,1,6
1304x377,BST,BST,1,3,0,0,3,2,3,1,1,7
1312x364,BST,BST,1,0,0,4,6,2,0,1,1,6
1315x503,BST,BST,1,0,0,17,6,2,0,1,1,6
1324x451,BST,BST,1,0,0,17,6,2,0,1,1,6
1325x360,BST,BST,1,3,0,0,6,2,0,1,1,6
1330x514,BST,BST,1,0,0,1,6,2,0,1,1,6
1195x406,BST,BST,1,6,0,7,4,2,6,1,1,3
1216x382,BST,BST,1,0,3,17,6,2,0,1,1,6
1228x363,BST,BST,1,0,0,1,6,2,0,1,1,6
1245x510,BST,BST,1,0,0,8,6,2,0,1,1,0
1302x473,BST,BST,1,0,0,1,6,2,0,1,1,6
1222x349,BST,BST,3,3,0,0,3,2,3,1,1,7
1244x349,BST,BST,3,3,0,0,3,2,3,1,1,7
1304x451,BST,BST,1,0,0,17,6,2,0,1,1,6
1256x342,BST,BST,3,10,0,21,3,2,10,1,1,7
1326x389,BST,BST,1,0,0,1,6,2,0,1,1,6
1157x421,BST,BST,1,0,0,17,6,2,0,1,1,6
1158x351,BST,BST,1,0,3,2,6,2,0,1,1,6
1189x402,BST,BST,1,3,0,0,6,2,3,1,1,7
1242x463,BST,BST,1,0,0,17,6,2,0,1,1,6
1270x392,BST,BST,1,0,0,1,6,2,0,1,1,6
1272x424,BST,BST,1,3,0,0,6,2,3,1,1,7
1284x353,BST,BST,1,9,0,12,3,2,9,1,1,7
1283x483,BST,BST,1,9,0,12,6,2,0,1,1,7
1320x517,BST,BST,1,0,0,1,6,2,0,1,1,6
1154x672,BST,BST,1,0,0,1,6,2,0,1,1,6
1153x656,BST,BST,4,5,0,6,3,2,4,1,1,1
1159x694,BST,BST,1,0,0,17,6,2,0,1,1,6
1165x613,BST,BST,4,0,0,17,6,2,0,1,1,6
1170x655,BST,BST,1,0,0,17,6,2,0,1,1,6
1171x592,BST,BST,4,5,0,6,3,2,4,1,1,1
1174x568,BST,BST,1,1,0,14,6,2,0,1,1,2
1175x577,BST,BST,1,0,0,17,6,2,0,1,1,6
