,Slice,Ground Truth,Graphst,Leiden,MENDER,SCANPY,SEDR,SpaceFlow,SpaGCN,STAGATE,stGCL,stLearn
10132,1,outside_VISp,2,0,3,3,3,3,0,3,4,5
10133,1,outside_VISp,2,1,3,8,3,0,3,3,4,2
10135,1,outside_VISp,2,1,3,6,5,3,2,3,4,2
10136,1,outside_VISp,2,3,3,9,3,3,5,3,4,3
10137,1,outside_VISp,2,5,3,5,1,3,3,3,4,0
10139,1,outside_VISp,2,3,3,10,3,3,3,3,4,3
10140,1,outside_VISp,1,2,3,0,3,0,1,4,4,5
10141,1,outside_VISp,2,5,3,5,5,3,4,3,4,0
10142,1,outside_VISp,2,0,3,1,3,3,0,1,4,5
10143,1,outside_VISp,2,4,3,11,1,3,4,3,4,1
10144,1,outside_VISp,2,4,3,11,1,0,3,3,4,1
10146,1,outside_VISp,2,1,3,6,3,3,3,3,4,4
10148,1,outside_VISp,2,0,3,3,3,3,5,3,4,3
10149,1,outside_VISp,4,0,3,3,3,3,5,5,4,3
10150,1,outside_VISp,2,0,1,1,4,3,5,1,4,5
10151,1,outside_VISp,4,4,3,7,1,3,3,5,4,1
10152,1,outside_VISp,2,3,3,2,3,3,5,3,4,3
10153,1,outside_VISp,2,3,3,9,3,3,5,3,4,3
10154,1,outside_VISp,2,0,3,3,3,3,0,3,4,5
10155,1,outside_VISp,2,1,3,6,5,3,2,5,4,2
10156,1,outside_VISp,4,0,1,3,3,3,0,1,4,5
10157,1,outside_VISp,2,4,1,11,1,3,3,1,4,1
10158,1,outside_VISp,2,3,3,9,3,3,5,3,4,3
10159,1,outside_VISp,2,3,3,0,3,3,5,5,4,3
10160,1,outside_VISp,2,3,3,2,3,3,5,3,4,3
10162,1,outside_VISp,2,4,3,7,1,3,3,1,4,4
10164,1,outside_VISp,4,0,3,3,3,3,5,1,4,3
10165,1,outside_VISp,4,1,1,8,5,3,2,1,4,2
10167,1,outside_VISp,4,0,1,1,3,3,5,1,4,3
10169,1,outside_VISp,2,4,3,7,1,3,3,3,4,4
10170,1,outside_VISp,2,3,3,10,3,3,5,3,4,3
10171,1,outside_VISp,2,3,3,9,3,3,5,3,4,3
10172,1,outside_VISp,2,4,1,11,1,3,3,1,4,1
10173,1,outside_VISp,2,4,3,7,1,3,3,5,4,4
10174,1,outside_VISp,2,1,3,8,5,3,2,3,4,2
10175,1,outside_VISp,2,0,1,3,3,3,0,1,4,5
20014,1,outside_VISp,3,5,5,5,6,4,4,2,5,0
20019,1,outside_VISp,6,3,2,2,3,0,5,5,5,3
20021,1,outside_VISp,3,5,5,5,6,4,4,2,5,0
20022,1,VISp_VI,6,3,2,2,3,0,5,4,5,3
20023,1,VISp_VI,6,0,2,3,3,0,0,4,5,5
20024,1,VISp_VI,6,3,2,2,3,0,5,4,5,3
20025,1,VISp_VI,2,0,2,3,3,0,0,4,5,5
20026,1,outside_VISp,6,1,2,4,5,4,2,4,5,2
20027,1,VISp_VI,6,1,2,6,5,0,2,4,5,2
20028,1,VISp_VI,6,3,2,2,3,0,5,4,5,3
20030,1,outside_VISp,6,3,2,2,3,0,5,4,5,3
20031,1,outside_VISp,3,4,5,11,1,4,3,2,5,1
20032,1,outside_VISp,6,1,2,8,5,0,0,4,5,2
20033,1,outside_VISp,6,5,2,5,5,0,4,4,5,0
20036,1,VISp_VI,6,4,2,7,1,0,3,4,5,4
20037,1,outside_VISp,2,0,2,3,3,0,3,4,5,5
20038,1,outside_VISp,2,0,2,3,3,0,0,4,5,5
20039,1,outside_VISp,6,3,2,2,3,0,5,4,5,3
20040,1,VISp_VI,6,0,2,3,3,0,0,4,5,5
20041,1,VISp_VI,6,4,2,7,1,0,3,4,5,4
20042,1,outside_VISp,6,3,5,2,3,4,5,4,5,3
20043,1,outside_VISp,3,0,2,3,3,0,0,4,5,5
20044,1,outside_VISp,3,5,5,5,5,3,4,2,5,0
20045,1,outside_VISp,2,1,2,4,5,0,2,4,5,2
20046,1,outside_VISp,6,3,2,2,3,0,5,4,5,3
20047,1,outside_VISp,6,3,2,2,3,0,5,4,5,3
20048,1,outside_VISp,2,1,5,4,5,3,2,2,5,2
20049,1,outside_VISp,2,5,2,5,5,0,4,4,5,0
20050,1,VISp_VI,6,3,2,2,3,0,5,4,5,3
20051,1,outside_VISp,2,3,2,2,3,0,3,4,5,3
20052,1,VISp_VI,6,3,2,2,3,0,5,4,5,3
20053,1,outside_VISp,2,3,5,2,3,0,5,4,5,3
20054,1,outside_VISp,2,4,5,7,1,3,2,2,5,1
20056,1,outside_VISp,6,5,2,5,5,0,4,4,5,0
20057,1,outside_VISp,6,4,2,7,1,0,3,4,5,4
20058,1,outside_VISp,5,3,2,2,3,0,5,4,5,3
20059,1,outside_VISp,6,3,2,9,3,0,5,4,5,3
20060,1,outside_VISp,2,4,2,11,1,3,3,4,5,4
20062,1,outside_VISp,6,3,2,2,3,0,5,4,5,3
20064,1,outside_VISp,6,3,2,2,3,0,5,4,5,3
20065,1,outside_VISp,6,3,2,2,3,0,5,4,5,2
20066,1,outside_VISp,6,3,2,2,3,0,5,4,5,3
20067,1,outside_VISp,6,3,2,2,3,0,5,4,5,3
20068,1,VISp_VI,6,3,2,2,3,0,0,4,5,3
20069,1,outside_VISp,6,0,2,3,3,0,0,4,5,3
20070,1,outside_VISp,6,3,2,1,3,0,5,4,5,3
20071,1,outside_VISp,2,3,2,2,3,3,5,4,5,3
20072,1,outside_VISp,6,3,2,2,3,0,5,4,5,3
20073,1,outside_VISp,6,1,2,4,5,0,3,4,5,2
20074,1,outside_VISp,6,3,2,2,3,0,5,4,5,3
20075,1,outside_VISp,6,3,2,2,3,0,5,4,5,3
20076,1,outside_VISp,6,5,2,5,5,0,4,4,5,0
20077,1,outside_VISp,6,5,2,5,5,0,4,4,5,0
20078,1,outside_VISp,6,1,2,4,3,0,2,4,5,2
20079,1,outside_VISp,6,3,2,2,3,0,5,4,5,3
20080,1,outside_VISp,6,1,2,6,5,0,2,4,5,2
20081,1,outside_VISp,6,3,2,2,3,0,5,4,5,3
20082,1,outside_VISp,6,3,2,2,3,0,5,4,5,3
20083,1,outside_VISp,6,5,2,5,5,0,4,4,5,0
20084,1,outside_VISp,6,0,2,3,3,0,0,4,5,5
20085,1,outside_VISp,6,3,2,2,3,0,5,4,5,3
20087,1,outside_VISp,6,3,2,2,3,0,5,4,5,3
20088,1,outside_VISp,6,3,2,2,3,0,5,4,5,3
20089,1,outside_VISp,6,3,2,10,3,3,5,4,5,3
20090,1,outside_VISp,6,3,2,2,3,0,5,4,5,3
20091,1,outside_VISp,2,0,2,0,3,0,2,4,5,5
20092,1,outside_VISp,6,0,2,3,3,0,0,4,5,5
20093,1,outside_VISp,6,3,2,2,3,0,5,4,5,3
20094,1,outside_VISp,6,0,2,2,3,0,5,4,5,3
20095,1,outside_VISp,6,3,2,2,3,0,5,4,5,3
20096,1,outside_VISp,6,3,2,2,3,0,5,4,5,3
20099,1,outside_VISp,6,0,2,3,3,0,0,4,5,5
20100,1,outside_VISp,6,3,2,2,3,0,5,4,5,3
20101,1,outside_VISp,6,3,2,2,3,0,5,4,5,3
20102,1,outside_VISp,6,0,2,3,3,0,0,4,5,5
20103,1,outside_VISp,6,3,2,2,3,0,5,4,5,3
20104,1,outside_VISp,6,0,2,3,3,0,0,4,5,5
20105,1,outside_VISp,2,3,2,3,3,0,0,4,5,3
20106,1,outside_VISp,6,1,2,8,5,0,5,4,5,2
20108,1,outside_VISp,6,1,2,6,3,0,2,4,5,3
20109,1,outside_VISp,6,3,2,9,3,0,5,4,5,3
20110,1,outside_VISp,6,3,2,2,3,0,5,4,5,3
20111,1,outside_VISp,2,4,2,7,1,0,3,4,5,1
20112,1,outside_VISp,6,3,2,2,3,0,3,4,5,3
20113,1,outside_VISp,2,0,2,3,3,0,0,4,5,5
20114,1,outside_VISp,6,0,2,3,3,0,0,4,5,5
20115,1,outside_VISp,6,3,2,2,3,0,5,4,5,3
20116,1,outside_VISp,6,4,2,11,1,0,3,4,5,1
20117,1,outside_VISp,6,3,2,2,3,0,5,4,5,3
20119,1,outside_VISp,6,1,2,4,5,0,2,4,5,2
20120,1,outside_VISp,2,3,2,2,3,0,5,4,5,3
20122,1,outside_VISp,2,0,2,3,3,0,0,4,5,5
20123,1,outside_VISp,6,1,2,8,3,0,5,4,5,2
20124,1,outside_VISp,6,3,2,2,3,0,5,4,5,3
20126,1,outside_VISp,6,3,2,2,3,0,5,4,5,3
20127,1,outside_VISp,6,3,2,2,3,0,5,4,5,3
20128,1,outside_VISp,6,3,2,2,3,0,5,4,5,3
20130,1,outside_VISp,2,3,2,2,3,0,5,4,5,3
20131,1,outside_VISp,2,4,2,7,1,0,3,3,4,4
20132,1,outside_VISp,5,3,2,2,3,0,5,4,5,3
20133,1,outside_VISp,2,4,2,11,1,0,3,4,5,1
20134,1,outside_VISp,2,4,2,7,1,0,3,4,5,1
20135,1,outside_VISp,2,1,2,6,3,0,2,4,5,2
20136,1,outside_VISp,6,2,2,0,3,0,0,4,5,3
20137,1,outside_VISp,2,3,2,2,3,0,5,4,5,3
20138,1,outside_VISp,2,0,2,10,3,0,0,3,4,0
20139,1,outside_VISp,2,3,2,3,3,0,5,4,5,3
20140,1,outside_VISp,6,0,2,3,3,0,0,4,5,5
20141,1,outside_VISp,3,1,2,4,5,0,2,4,5,2
20142,1,outside_VISp,2,1,2,8,3,0,2,4,5,2
20144,1,outside_VISp,2,4,2,7,1,0,3,3,4,4
20145,1,outside_VISp,2,5,2,5,5,0,4,4,5,0
20147,1,outside_VISp,6,0,2,3,3,0,0,4,5,5
20148,1,outside_VISp,6,5,2,5,5,0,4,4,5,0
20149,1,outside_VISp,2,3,2,2,3,0,5,3,4,3
20150,1,outside_VISp,2,0,2,3,3,0,1,3,5,5
20151,1,outside_VISp,6,3,2,0,3,0,5,4,5,3
20152,1,outside_VISp,6,5,2,5,5,0,4,4,5,0
20153,1,outside_VISp,6,5,2,5,5,0,4,4,5,0
20155,1,outside_VISp,6,0,2,3,3,0,0,4,5,3
20157,1,outside_VISp,2,0,2,3,3,0,5,3,4,5
20158,1,outside_VISp,6,3,2,2,3,0,5,4,5,3
20159,1,outside_VISp,6,0,2,1,3,0,0,4,5,5
20160,1,outside_VISp,2,0,2,3,3,0,0,3,4,5
20161,1,outside_VISp,2,3,2,2,3,0,0,3,5,3
20162,1,outside_VISp,6,3,2,2,3,0,5,4,5,3
20163,1,outside_VISp,2,3,2,10,3,0,0,3,4,5
20164,1,outside_VISp,6,0,2,3,3,0,0,4,5,5
20165,1,outside_VISp,5,3,2,2,3,0,5,4,5,3
20166,1,outside_VISp,6,3,2,2,3,0,5,4,5,3
20168,1,outside_VISp,2,0,2,3,3,0,0,3,4,5
20169,1,outside_VISp,2,4,2,11,1,0,3,3,4,1
20170,1,outside_VISp,6,3,2,9,3,0,5,4,5,3
20171,1,outside_VISp,6,0,2,3,3,0,0,4,5,5
20172,1,outside_VISp,6,3,2,2,3,0,3,4,5,3
20173,1,outside_VISp,2,4,2,7,1,0,3,4,5,1
20175,1,outside_VISp,6,3,2,2,3,0,5,4,5,3
20176,1,outside_VISp,2,0,2,3,3,0,0,3,4,5
20177,1,outside_VISp,2,3,2,2,3,0,5,3,5,3
20178,1,outside_VISp,2,4,2,7,1,0,3,4,5,4
20179,1,outside_VISp,2,3,2,2,3,0,0,4,4,5
20180,1,outside_VISp,2,3,2,2,1,0,3,4,5,3
20182,1,outside_VISp,2,0,2,3,3,0,0,1,4,5
20183,1,outside_VISp,2,3,2,10,3,0,5,5,4,3
20184,1,outside_VISp,2,0,2,1,3,0,0,4,4,5
20185,1,outside_VISp,2,0,2,3,3,0,0,4,4,5
20186,1,outside_VISp,5,3,2,2,3,0,5,4,5,3
20187,1,outside_VISp,6,3,2,2,3,0,5,4,4,3
20188,1,outside_VISp,2,1,2,4,5,0,2,4,5,2
20190,1,outside_VISp,2,5,2,5,5,0,2,4,4,0
20191,1,outside_VISp,2,4,2,7,1,0,3,3,4,4
20194,1,outside_VISp,2,0,2,3,3,0,0,5,4,5
20195,1,outside_VISp,2,0,2,3,3,0,0,3,4,5
20196,1,outside_VISp,2,1,2,8,5,0,3,3,4,2
20199,1,outside_VISp,2,4,3,11,1,0,3,5,4,1
30017,1,outside_VISp,2,3,4,2,3,4,0,2,3,3
30021,1,VISp_wm,2,4,5,11,1,0,3,4,5,1
30022,1,outside_VISp,3,1,4,6,6,4,2,2,3,2
30028,1,outside_VISp,2,1,4,8,6,4,2,5,3,3
30030,1,outside_VISp,3,5,4,5,6,4,4,2,3,0
30031,1,outside_VISp,3,5,4,5,6,4,4,2,3,0
30032,1,outside_VISp,3,1,4,4,6,4,2,2,3,2
30033,1,VISp_wm,3,5,5,5,6,4,4,2,3,0
30034,1,VISp_wm,6,1,2,4,5,0,2,4,5,2
30035,1,outside_VISp,3,5,4,5,6,4,4,2,3,0
30036,1,outside_VISp,3,5,4,5,6,4,4,2,3,0
30037,1,VISp_wm,2,3,5,2,3,4,5,4,5,3
30038,1,VISp_wm,2,4,5,11,1,4,3,4,5,1
30039,1,VISp_VI,6,3,2,2,3,0,5,4,5,3
30040,1,outside_VISp,3,5,4,4,6,4,4,2,3,0
30041,1,VISp_wm,3,5,5,5,6,4,4,2,5,0
30042,1,VISp_wm,6,3,5,2,3,4,5,4,5,3
30043,1,outside_VISp,3,1,4,6,6,4,2,2,3,2
30044,1,VISp_wm,6,5,2,5,5,4,4,4,5,0
30046,1,outside_VISp,3,1,4,4,6,4,2,5,3,2
30047,1,VISp_wm,3,1,5,6,6,4,2,2,5,2
30048,1,VISp_wm,6,3,5,2,3,4,5,4,5,3
30049,1,outside_VISp,3,5,4,5,6,4,4,2,3,0
30050,1,VISp_wm,6,3,5,2,3,4,5,4,5,3
30051,1,VISp_wm,6,3,5,2,3,4,5,4,5,3
30052,1,outside_VISp,3,5,4,5,6,4,2,2,3,0
30053,1,VISp_VI,6,3,2,2,3,0,5,4,5,3
30054,1,VISp,3,1,5,4,6,4,2,2,3,2
30055,1,outside_VISp,3,1,4,8,6,4,4,2,3,2
30056,1,outside_VISp,3,5,4,5,6,4,4,2,3,0
30057,1,VISp_wm,6,3,5,2,3,4,5,4,5,3
30060,1,outside_VISp,3,1,4,4,6,4,2,2,3,2
30062,1,VISp_wm,3,5,5,5,5,4,4,4,5,0
30063,1,VISp_wm,6,3,5,10,3,4,5,4,5,3
30064,1,outside_VISp,3,5,4,5,6,4,4,2,3,0
30065,1,outside_VISp,3,1,4,4,6,4,2,2,3,2
30066,1,outside_VISp,3,1,4,8,6,4,2,2,3,2
30067,1,VISp_wm,3,5,5,5,6,4,4,5,3,0
30068,1,VISp_wm,2,5,5,5,6,4,4,2,3,0
30069,1,VISp_wm,6,3,5,2,3,0,5,4,5,3
30070,1,outside_VISp,3,5,4,5,6,4,4,2,3,0
30071,1,VISp_wm,2,3,5,2,3,4,5,2,5,3
30072,1,VISp_wm,2,3,5,10,3,4,5,4,5,3
30073,1,VISp_wm,2,3,5,10,3,4,5,2,5,3
30074,1,outside_VISp,3,5,4,5,6,4,4,2,3,0
30075,1,VISp_VI,6,3,2,2,3,0,5,4,5,3
30076,1,outside_VISp,3,1,4,6,6,4,2,2,3,2
30077,1,VISp_wm,3,5,5,5,6,4,4,2,3,0
30078,1,VISp_wm,2,0,5,3,3,4,0,4,5,5
30079,1,VISp_wm,2,3,5,2,3,0,5,4,5,3
30080,1,VISp_VI,6,3,2,2,3,0,5,4,5,3
30081,1,VISp_wm,2,3,5,2,3,4,0,2,5,3
30082,1,outside_VISp,3,5,4,5,6,4,4,2,3,0
30083,1,outside_VISp,3,1,4,4,6,4,2,2,3,2
30084,1,VISp_VI,6,3,2,2,3,0,5,4,5,3
30085,1,VISp_wm,3,1,5,6,3,4,2,2,3,2
30086,1,VISp_VI,2,0,2,1,3,0,4,4,5,5
30087,1,VISp_wm,3,1,5,4,6,4,2,2,3,2
30089,1,VISp_VI,6,3,2,2,3,0,5,4,5,3
30090,1,VISp_wm,2,3,5,2,3,0,4,3,5,0
30091,1,VISp_wm,2,0,5,3,3,4,5,3,5,3
30092,1,VISp_VI,6,3,2,2,3,0,5,4,5,3
30093,1,VISp_VI,6,3,2,9,3,0,5,4,5,3
30094,1,outside_VISp,3,1,4,4,6,4,2,2,3,2
30095,1,outside_VISp,3,5,4,5,6,4,4,2,3,0
30096,1,VISp_VI,6,3,2,2,3,0,5,4,5,3
30097,1,outside_VISp,3,1,4,8,6,4,2,2,3,2
30098,1,outside_VISp,3,1,4,8,6,4,2,2,3,2
30099,1,VISp_VI,6,3,2,2,3,0,5,4,5,3
30100,1,VISp_VI,2,3,2,2,3,0,5,4,5,3
30101,1,VISp_wm,3,5,5,5,6,4,4,2,3,0
30102,1,VISp_wm,6,3,2,2,3,0,5,4,5,3
30103,1,outside_VISp,3,1,4,8,6,4,2,2,3,2
30104,1,VISp_wm,3,3,5,2,3,4,0,3,5,3
30105,1,VISp_VI,6,3,2,2,3,0,5,4,5,3
30106,1,VISp,3,5,5,5,6,4,4,2,3,0
30107,1,outside_VISp,3,5,4,5,6,4,4,2,3,0
30108,1,outside_VISp,3,1,4,4,6,4,2,2,3,2
30110,1,VISp,3,5,5,5,6,4,4,2,3,0
30111,1,outside_VISp,3,1,4,8,6,4,2,2,3,2
30112,1,VISp_wm,6,5,5,5,5,4,4,5,5,0
30113,1,outside_VISp,3,5,4,5,6,4,4,2,3,0
30114,1,VISp_wm,6,1,2,6,5,0,2,4,5,2
30116,1,VISp_wm,6,0,5,1,3,4,4,2,5,0
30117,1,VISp_VI,6,3,2,2,3,0,5,4,5,3
30118,1,VISp_VI,2,4,2,7,1,0,3,4,5,4
30119,1,outside_VISp,3,1,4,6,6,4,4,2,3,2
30120,1,VISp_wm,6,3,2,2,3,0,5,4,5,3
30122,1,VISp_wm,2,5,5,1,5,4,5,4,5,0
30123,1,VISp_wm,3,3,5,2,6,4,5,2,5,3
30125,1,VISp_VI,6,3,2,9,3,0,5,4,5,3
30126,1,VISp_VI,6,3,2,2,3,0,5,4,5,3
30127,1,VISp_VI,6,3,2,2,3,0,5,4,5,3
30129,1,VISp_VI,6,3,2,2,3,0,5,4,5,3
30130,1,VISp_wm,2,3,5,2,3,4,5,4,5,3
30131,1,VISp,3,5,5,5,6,4,4,2,3,0
30132,1,VISp_VI,6,3,2,2,3,0,5,4,5,3
30134,1,VISp_wm,2,3,5,2,3,0,5,4,5,3
30135,1,VISp_VI,5,3,2,2,3,0,5,4,5,3
30136,1,VISp_wm,2,0,5,3,3,0,0,5,5,5
30137,1,VISp_VI,2,0,2,3,3,0,0,4,5,5
30138,1,VISp_wm,3,1,5,4,6,4,2,2,5,2
30139,1,VISp_wm,5,3,2,2,3,0,5,4,5,3
30140,1,VISp_wm,3,1,5,4,5,4,2,5,5,2
30141,1,VISp_VI,6,3,2,2,3,0,5,4,5,3
30142,1,VISp_VI,5,3,2,2,3,0,5,4,5,3
30143,1,VISp_wm,5,3,2,2,3,0,5,4,5,3
30144,1,VISp_VI,6,5,2,5,5,0,4,4,5,0
30145,1,VISp_VI,6,4,2,7,1,0,3,4,5,4
30146,1,VISp_wm,2,3,5,2,3,4,2,5,5,3
30147,1,VISp_VI,5,3,2,2,3,0,5,4,5,3
30148,1,VISp_wm,5,3,2,2,3,0,5,4,5,3
30149,1,VISp_VI,5,3,2,2,3,0,5,4,5,3
30150,1,outside_VISp,5,1,5,8,6,4,2,2,5,2
30151,1,VISp_VI,6,3,2,2,3,0,5,4,5,3
30152,1,VISp_VI,6,3,2,2,3,0,5,4,5,2
30153,1,VISp_wm,2,4,5,7,1,0,3,5,5,1
30154,1,VISp_VI,6,3,2,2,3,0,5,4,5,3
30155,1,VISp_wm,5,3,2,2,3,0,5,4,5,3
30156,1,VISp_VI,5,3,2,2,3,0,5,4,5,3
30157,1,VISp_VI,5,0,2,3,3,0,0,4,5,5
30159,1,VISp_wm,5,3,2,2,3,0,5,4,5,3
30160,1,VISp_wm,6,1,2,6,1,0,2,4,5,2
30161,1,outside_VISp,5,5,5,4,6,4,4,2,5,0
30162,1,VISp_wm,6,3,2,2,3,0,5,5,5,3
30163,1,VISp_VI,6,1,2,8,3,0,2,4,5,2
30164,1,VISp_VI,6,3,2,2,3,0,5,4,5,3
30165,1,VISp_VI,6,3,2,2,3,0,5,4,5,3
30166,1,VISp_VI,6,1,2,4,5,0,2,4,5,2
30167,1,outside_VISp,5,1,5,6,5,4,2,5,5,2
30168,1,outside_VISp,5,0,5,3,3,4,5,2,5,3
30169,1,VISp_VI,6,3,2,2,3,0,5,4,5,3
30170,1,VISp_wm,6,3,2,2,3,0,5,4,5,3
30171,1,VISp_VI,2,0,2,3,3,0,0,4,5,5
30172,1,VISp_VI,6,0,2,3,3,0,0,4,5,5
30173,1,VISp_wm,6,3,2,2,3,0,5,5,5,3
30174,1,VISp_VI,6,1,2,4,3,0,5,4,5,2
30175,1,VISp_VI,6,0,2,3,3,0,0,4,5,3
30176,1,outside_VISp,5,3,5,2,6,4,5,2,5,3
30178,1,VISp_VI,2,4,2,7,1,0,3,4,5,4
30179,1,VISp_VI,2,3,2,2,3,0,5,4,5,3
