,slice_id,ct,Graphst,Leiden,MENDER,SCANPY,SEDR,SpaceFlow,SpaGCN,STAGATE,stGCL,stLearn
2336x4662-1,BZ9,Endo,3,4,2,5,2,3,2,2,2,3
2359x1998-1,BZ9,Endo,2,4,3,5,1,5,2,2,2,3
2440x5942-1,BZ9,eL6-2,1,3,2,4,2,3,0,3,2,1
2494x1911-1,BZ9,Astro,2,3,3,3,1,5,2,2,2,3
2512x6574-1,BZ9,eL5-2,3,6,2,8,2,4,4,3,2,3
2533x2102-1,BZ9,Endo,2,4,3,5,1,5,2,1,2,3
2613x5940-1,BZ9,eL5-3,1,5,2,4,2,3,0,3,2,1
2576x2620-1,BZ9,Reln,3,7,2,7,1,5,3,1,2,0
2591x6509-1,BZ9,eL2/3,3,1,2,1,2,3,4,3,2,1
2600x752-1,BZ9,Astro,1,3,3,5,2,5,2,1,2,3
2635x3853-1,BZ9,eL2/3,3,8,2,1,2,3,0,3,2,1
2610x5600-1,BZ9,eL5-2,1,1,2,1,2,3,0,3,2,1
2690x5500-1,BZ9,Astro,1,3,2,1,2,3,2,3,2,1
2697x2166-1,BZ9,Smc,2,4,2,5,1,5,2,1,2,3
2770x3565-1,BZ9,eL5-3,1,5,2,4,2,3,0,3,2,1
2748x217-1,BZ9,Reln,1,7,3,7,2,5,3,1,2,0
2875x491-1,BZ9,Endo,1,4,3,5,2,5,2,1,2,3
2753x4334-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
2803x6419-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
2866x125-1,BZ9,Smc,1,3,3,3,2,5,2,1,2,3
2880x4466-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
2916x5260-1,BZ9,NPY,3,2,2,7,2,3,3,1,2,0
2927x4651-1,BZ9,eL5-2,3,5,2,4,2,3,0,3,2,1
2926x2674-1,BZ9,eL2/3,3,1,2,1,2,3,0,1,2,1
2960x6102-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
2973x5110-1,BZ9,eL2/3,3,1,2,1,2,3,2,1,2,1
3025x3692-1,BZ9,eL2/3,3,5,2,4,2,3,0,3,2,1
3074x5257-1,BZ9,Reln,3,7,2,7,2,3,3,1,2,0
3080x5841-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3126x2749-1,BZ9,eL2/3,3,3,2,6,2,3,0,1,2,1
3071x3935-1,BZ9,eL2/3,3,9,2,6,2,3,2,3,2,3
3096x4369-1,BZ9,L5-1,3,1,2,6,2,3,0,3,2,1
3120x1105-1,BZ9,Reln,3,7,2,7,2,3,3,3,2,0
3122x4726-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3111x6412-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3084x3109-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3166x5661-1,BZ9,NPY,3,8,2,4,2,3,0,3,2,1
3203x1510-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3148x2309-1,BZ9,Astro,3,1,2,1,2,3,0,3,2,1
3222x5513-1,BZ9,eL2/3,3,5,2,4,2,3,0,3,2,1
3197x2950-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3214x5916-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3218x4490-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3228x5280-1,BZ9,Astro,3,7,2,7,2,3,3,1,2,3
3270x4186-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3300x4308-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3260x3440-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3324x4576-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3301x3734-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3320x6058-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3352x4070-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3335x5021-1,BZ9,eL5-2,3,1,2,1,2,3,0,3,2,1
3359x1091-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3323x6465-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3364x5937-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3359x5256-1,BZ9,eL2/3,3,2,2,1,2,3,3,3,2,1
3362x3568-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3385x6253-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3383x5417-1,BZ9,eL2/3,3,0,2,0,2,3,0,3,2,1
3414x4881-1,BZ9,L5-1,3,2,2,2,2,3,0,3,2,1
3386x1833-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3389x3123-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3416x4672-1,BZ9,eL2/3,3,1,2,1,2,3,4,3,2,1
3411x5640-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3427x4528-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3453x878-1,BZ9,eL5-2,3,1,2,1,2,3,0,3,2,1
3466x2740-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3466x3930-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3511x5866-1,BZ9,eL2/3,3,8,2,4,2,3,0,3,2,1
3493x6025-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3487x4430-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3497x5218-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3507x2973-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3542x5733-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3531x5104-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3521x3696-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3546x6184-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3541x2110-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3543x4744-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3573x4973-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3572x1917-1,BZ9,eL2/3,3,5,2,4,2,3,0,3,2,1
3591x2599-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3598x997-1,BZ9,VIP,3,3,2,3,2,3,0,3,2,3
3587x1792-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3621x3884-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3612x4320-1,BZ9,eL2/3,3,5,2,4,2,3,0,3,2,1
3638x1640-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3665x3543-1,BZ9,eL2/3,3,1,2,1,2,3,2,3,2,1
3672x3705-1,BZ9,eL2/3,3,5,2,1,2,3,0,3,2,1
3662x1282-1,BZ9,Astro,3,1,2,1,2,3,0,3,2,1
3662x4119-1,BZ9,eL2/3,3,5,2,4,2,3,0,3,2,1
3690x3439-1,BZ9,Endo,2,9,2,6,2,3,2,2,2,3
3689x1991-1,BZ9,Astro,3,8,2,4,2,3,0,3,2,1
3687x2908-1,BZ9,L5-1,3,1,2,1,2,3,0,3,2,1
3680x4808-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3710x1762-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3720x2151-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3696x4553-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3711x4679-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3753x6514-1,BZ9,eL5-2,3,8,2,4,2,3,0,3,2,1
3719x2629-1,BZ9,eL2/3,3,1,2,1,2,3,2,3,2,1
3733x4309-1,BZ9,eL2/3,3,5,2,1,2,3,0,3,2,1
3766x5297-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3761x1123-1,BZ9,eL2/3,3,1,2,1,2,2,0,3,2,1
3727x6042-1,BZ9,Astro,3,3,2,3,2,3,2,3,2,3
3814x5458-1,BZ9,Smc,3,2,2,1,2,3,0,3,2,1
3795x3235-1,BZ9,eL5-2,1,1,2,1,2,3,0,2,2,1
3805x5811-1,BZ9,eL5-2,3,5,2,4,2,3,0,3,2,1
3795x751-1,BZ9,eL2/3,3,8,2,3,2,2,0,3,2,1
3800x2317-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3799x4039-1,BZ9,eL5-2,3,6,2,8,2,3,4,3,2,1
3833x4772-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3831x1304-1,BZ9,L5-1,3,1,2,2,2,2,0,3,2,1
3867x5191-1,BZ9,eL2/3,3,5,2,4,2,3,0,3,2,1
3843x3447-1,BZ9,Endo,2,4,2,5,2,4,2,2,2,3
3902x6520-1,BZ9,eL5-2,3,8,2,4,2,3,0,3,2,1
3927x793-1,BZ9,eL2/3,3,5,2,1,3,2,0,3,2,1
3941x1810-1,BZ9,L5-1,3,1,2,1,2,3,0,3,2,1
3934x3757-1,BZ9,eL5-3,2,2,2,2,2,4,0,2,2,1
3956x4150-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3943x3148-1,BZ9,eL2/3,3,1,2,1,2,3,0,2,2,1
3974x3879-1,BZ9,eL5-3,1,2,2,2,2,4,0,3,2,1
3940x2689-1,BZ9,eL2/3,3,1,2,1,2,3,0,3,2,1
3947x3581-1,BZ9,Endo,2,4,2,5,2,4,2,2,2,3
3972x2174-1,BZ9,eL2/3,1,1,2,2,3,3,4,3,2,1
3992x224-1,BZ9,eL5-3,1,2,0,2,3,2,0,3,2,1
4008x1037-1,BZ9,Endo,3,2,2,0,3,2,1,3,2,3
3996x2018-1,BZ9,SST,3,6,2,8,2,3,4,3,2,3
4012x2519-1,BZ9,L5-1,3,5,2,4,2,3,0,3,2,1
4026x2847-1,BZ9,eL5-3,3,2,2,2,2,3,0,3,2,1
4007x6258-1,BZ9,eL5-2,3,5,2,4,2,3,2,3,2,1
4003x4792-1,BZ9,eL5-2,3,8,2,1,2,3,0,3,2,1
4056x1245-1,BZ9,L5-1,3,1,2,1,3,2,0,3,2,1
4063x3450-1,BZ9,Endo,2,4,2,5,2,4,2,2,2,3
4052x4572-1,BZ9,eL5-2,3,9,2,6,2,3,0,3,2,1
4091x1491-1,BZ9,L5-1,3,1,2,1,3,2,0,3,2,1
4099x2666-1,BZ9,L5-1,3,5,2,4,3,3,0,3,2,1
4064x6440-1,BZ9,eL5-3,3,8,2,4,2,3,0,3,2,1
4084x6565-1,BZ9,eL2/3,3,8,2,4,2,3,0,3,2,1
4097x6103-1,BZ9,Smc,3,8,2,4,2,3,2,3,2,1
4104x5106-1,BZ9,eL5-2,3,8,2,1,2,3,0,3,2,1
4097x2291-1,BZ9,VIP,1,1,2,1,3,3,4,3,2,1
4089x528-1,BZ9,eL2/3,1,5,2,4,3,2,0,3,2,1
4110x3586-1,BZ9,Endo,2,4,2,5,2,4,2,2,2,3
4108x5879-1,BZ9,eL5-2,3,8,2,4,2,3,0,3,2,1
4147x2123-1,BZ9,eL5-2,1,6,2,8,3,2,4,3,2,1
4135x2429-1,BZ9,eL2/3,3,5,2,1,3,3,0,3,2,1
4180x4528-1,BZ9,eL5-2,3,8,2,1,2,3,4,3,2,1
4177x5444-1,BZ9,eL5-2,3,8,2,4,2,3,0,3,2,1
4199x1841-1,BZ9,eL5-2,3,2,2,6,3,2,0,3,2,1
4241x4940-1,BZ9,eL5-2,3,1,2,1,2,3,0,3,2,1
4274x970-1,BZ9,L5-1,1,5,0,4,3,2,0,3,2,1
4244x3612-1,BZ9,Endo,2,4,0,5,2,4,2,2,2,3
4235x6338-1,BZ9,Astro,3,8,0,4,2,3,0,3,2,1
4237x3037-1,BZ9,L5-1,3,1,0,2,3,3,0,3,2,1
4311x4318-1,BZ9,L5-1,3,1,0,1,3,3,0,3,2,1
4388x1954-1,BZ9,L5-1,3,1,2,2,3,2,0,3,2,1
4284x825-1,BZ9,eL5-3,1,5,0,4,3,2,0,3,2,1
4342x3036-1,BZ9,eL5-3,1,1,0,1,3,2,0,3,2,1
4345x3674-1,BZ9,Endo,2,4,0,5,2,4,2,2,2,3
4342x3202-1,BZ9,eL5-3,1,8,0,4,3,2,0,3,2,1
4379x6351-1,BZ9,eL2/3,3,1,0,1,2,3,0,3,2,1
4326x699-1,BZ9,Astro,1,2,0,4,3,2,0,3,2,1
4427x3354-1,BZ9,L5-1,1,5,0,4,3,4,0,3,2,1
4395x5349-1,BZ9,eL2/3,3,8,0,4,2,3,0,3,2,1
4419x2438-1,BZ9,eL5-3,1,5,0,4,3,2,0,3,2,1
4417x4556-1,BZ9,SST,3,6,0,8,3,2,4,3,2,0
4434x102-1,BZ9,Astro,1,3,0,3,3,2,2,3,2,3
4445x2701-1,BZ9,eL5-3,1,3,0,2,3,2,2,3,2,3
4443x5876-1,BZ9,eL5-2,3,8,0,4,2,3,0,3,2,1
4439x2236-1,BZ9,eL5-2,3,1,0,1,3,2,0,3,2,1
4475x4708-1,BZ9,eL5-2,1,6,0,8,3,2,4,3,2,1
4479x3955-1,BZ9,L5-1,3,1,0,1,3,2,0,3,2,1
4506x3823-1,BZ9,eL5-2,3,8,0,6,2,3,0,3,2,1
4491x5739-1,BZ9,eL5-2,3,8,0,1,2,3,0,3,2,1
4493x4359-1,BZ9,eL6-2,1,8,0,6,3,2,1,3,2,2
4502x6429-1,BZ9,VIP,3,6,0,8,2,4,4,3,2,1
4530x5152-1,BZ9,eL5-2,3,8,0,1,2,3,4,3,2,1
4559x2733-1,BZ9,Astro,1,3,0,3,3,2,2,3,2,3
4549x1439-1,BZ9,eL5-3,1,5,0,4,3,2,0,3,2,1
4573x3050-1,BZ9,Lhx6,1,7,0,7,3,2,3,3,2,0
4584x4796-1,BZ9,L5-1,1,5,0,4,3,2,0,3,2,1
4616x2498-1,BZ9,L5-1,1,1,0,1,3,2,0,3,2,1
4588x762-1,BZ9,eL5-3,1,5,0,4,3,2,0,3,2,1
4611x1566-1,BZ9,L5-1,1,2,0,2,3,2,0,3,2,1
4622x3547-1,BZ9,eL5-2,3,1,0,1,3,2,0,3,2,1
4602x4420-1,BZ9,eL2/3,1,8,0,0,3,2,1,3,2,1
4616x5789-1,BZ9,eL5-3,3,1,0,1,2,3,0,3,2,1
4617x1013-1,BZ9,L5-1,1,5,0,1,3,2,0,3,2,1
4629x4923-1,BZ9,L5-1,1,1,0,1,3,2,0,3,2,1
4656x3179-1,BZ9,Lhx6,1,7,0,7,3,2,3,3,2,0
4647x2153-1,BZ9,eL5-2,3,1,0,1,3,2,0,3,2,1
4673x4241-1,BZ9,L5-1,1,5,0,4,3,2,0,3,2,1
4718x4341-1,BZ9,eL5-3,1,5,0,4,3,2,0,3,2,1
4692x1224-1,BZ9,L5-1,3,1,0,1,3,2,3,3,2,1
4705x4522-1,BZ9,eL2/3,1,2,0,2,3,2,0,3,2,1
4729x5381-1,BZ9,eL5-2,3,1,0,1,2,3,0,3,2,1
4713x5931-1,BZ9,eL5-3,3,2,0,2,2,3,0,3,2,1
4738x3416-1,BZ9,L5-1,1,1,0,1,3,2,0,3,2,1
4730x2345-1,BZ9,L5-1,3,1,0,1,3,2,0,3,2,1
4771x3846-1,BZ9,L5-1,3,1,0,1,3,2,4,3,2,1
4747x1483-1,BZ9,L5-1,1,8,0,7,3,2,3,3,2,1
4760x5551-1,BZ9,eL5-2,3,8,0,1,2,3,0,3,2,1
4789x834-1,BZ9,eL5-3,1,2,0,2,3,2,0,3,2,1
4796x6269-1,BZ9,eL5-2,3,8,0,1,2,4,0,3,2,1
4787x335-1,BZ9,eL5-3,1,2,0,2,3,2,0,3,2,1
4831x5702-1,BZ9,eL5-2,3,8,0,1,2,3,0,3,2,1
4805x3969-1,BZ9,SST,3,6,0,8,3,2,4,3,2,3
4785x1351-1,BZ9,Astro,1,7,0,7,3,2,3,3,2,0
4824x4588-1,BZ9,eL5-3,1,2,0,2,3,2,0,3,2,1
4832x5816-1,BZ9,eL5-3,1,1,0,2,2,4,0,3,2,1
4837x5961-1,BZ9,Astro,1,9,0,6,2,4,2,3,2,1
4834x1072-1,BZ9,L5-1,3,2,0,2,3,2,0,3,2,1
4843x1919-1,BZ9,eL5-3,1,2,0,2,3,2,0,3,2,1
4852x2271-1,BZ9,L5-1,3,3,0,3,3,2,0,3,2,0
4849x5153-1,BZ9,L5-1,3,1,0,2,3,2,0,3,2,1
4894x6374-1,BZ9,eL5-2,3,8,0,1,2,4,0,3,2,1
4862x2753-1,BZ9,eL5-2,1,2,0,1,3,2,4,3,2,1
4897x85-1,BZ9,eL5-3,1,2,0,2,3,2,0,3,2,1
4867x3356-1,BZ9,L5-1,3,1,0,2,3,2,0,3,2,1
4895x1559-1,BZ9,eL5-2,1,6,0,8,3,2,4,3,2,1
4887x3710-1,BZ9,eL5-3,3,2,0,2,3,2,0,3,2,1
4889x3549-1,BZ9,eL5-2,3,9,0,6,3,2,0,3,2,1
4886x6070-1,BZ9,Endo,2,4,0,5,2,4,2,2,2,3
4921x4079-1,BZ9,eL5-3,3,2,0,2,3,2,4,3,2,1
4907x3227-1,BZ9,L5-1,3,1,0,2,3,2,4,3,2,1
4915x5499-1,BZ9,eL2/3,3,1,0,1,2,3,0,3,2,1
4911x3096-1,BZ9,eL5-2,3,6,0,8,3,2,4,3,2,3
4880x4307-1,BZ9,eL5-2,3,8,0,4,3,2,0,3,2,1
4884x2947-1,BZ9,eL5-2,3,1,0,6,3,2,4,3,2,2
4944x5230-1,BZ9,L5-1,3,1,0,1,3,2,0,3,2,1
4958x6105-1,BZ9,Endo,2,4,0,5,2,4,2,2,2,3
4947x4907-1,BZ9,eL5-3,1,2,0,2,3,2,0,3,2,1
4956x4497-1,BZ9,L5-1,1,1,0,2,3,2,0,3,2,1
4995x2631-1,BZ9,eL5-2,1,5,0,4,3,2,0,3,2,1
5018x6547-1,BZ9,Astro,3,8,0,4,2,4,2,3,2,1
5000x3469-1,BZ9,L5-1,3,5,0,4,3,2,0,3,2,1
4986x1216-1,BZ9,eL5-3,3,2,0,2,3,2,0,3,2,1
5023x783-1,BZ9,eL6-2,1,8,0,3,3,2,0,3,2,2
5040x1067-1,BZ9,eL5-2,3,5,0,4,3,2,0,3,2,1
5051x3353-1,BZ9,eL5-2,1,5,0,4,3,2,0,3,2,1
5048x5949-1,BZ9,eL5-3,2,9,0,6,2,4,2,2,2,3
5091x630-1,BZ9,L5-1,1,5,0,4,3,2,0,3,2,1
5078x5550-1,BZ9,eL5-2,3,6,0,1,2,2,0,3,2,1
5116x1531-1,BZ9,NPY,1,6,0,8,3,2,4,3,2,0
5118x880-1,BZ9,Smc,3,8,0,4,3,2,0,3,2,3
5129x6037-1,BZ9,Endo,2,4,0,5,2,4,2,2,2,3
5154x4778-1,BZ9,L5-1,3,1,0,2,3,2,0,3,2,1
5138x4913-1,BZ9,eL5-2,3,9,0,1,3,2,0,3,2,1
5184x994-1,BZ9,L5-1,3,5,0,4,3,2,0,3,2,1
5172x5235-1,BZ9,eL5-3,1,2,0,4,3,2,0,3,2,1
5190x3948-1,BZ9,SST,1,6,0,8,3,2,4,3,2,3
5203x1124-1,BZ9,eL5-2,3,5,0,4,3,2,0,3,2,1
5219x1892-1,BZ9,SST,1,6,0,8,3,2,4,3,2,3
5211x2607-1,BZ9,Astro,1,2,0,2,3,2,0,3,2,1
5203x2895-1,BZ9,eL2/3,3,1,0,1,3,2,0,3,2,1
5213x2740-1,BZ9,eL5-3,1,2,0,2,3,2,0,3,2,1
5207x385-1,BZ9,eL5-3,1,5,0,4,3,2,0,3,2,1
5219x166-1,BZ9,eL5-2,1,5,0,4,3,2,0,3,2,1
5247x1284-1,BZ9,L5-1,1,1,0,2,3,2,0,3,2,1
5227x2273-1,BZ9,eL5-2,1,8,0,4,3,2,0,3,2,1
5218x6328-1,BZ9,Lhx6,1,7,0,7,2,4,3,2,2,0
5262x1801-1,BZ9,L5-1,1,6,0,8,3,2,4,3,2,1
5252x5910-1,BZ9,Endo,2,4,0,5,2,4,2,2,2,3
5271x3021-1,BZ9,eL5-2,1,9,0,1,3,2,0,3,2,1
5277x6161-1,BZ9,Endo,2,4,0,5,2,4,2,2,2,3
5275x3504-1,BZ9,eL5-3,1,2,0,2,3,2,0,3,2,1
5314x4858-1,BZ9,L5-1,3,8,0,4,3,2,0,3,2,1
5272x5434-1,BZ9,SST,1,6,0,8,3,2,4,3,2,0
5298x4727-1,BZ9,eL5-2,3,8,0,6,3,2,0,3,2,2
5304x1513-1,BZ9,eL5-3,1,2,0,2,3,2,4,3,2,1
5333x95-1,BZ9,eL5-3,1,5,0,4,3,2,0,3,2,1
5343x5027-1,BZ9,Astro,1,3,0,3,3,2,2,3,2,3
5382x6558-1,BZ9,eL5-2,1,9,0,6,2,4,0,3,2,1
5331x2045-1,BZ9,eL5-2,1,6,0,8,3,2,4,3,2,1
5331x3871-1,BZ9,eL5-2,1,1,0,1,3,0,4,3,2,1
5349x6081-1,BZ9,Endo,2,4,0,5,2,4,2,2,2,3
5352x2839-1,BZ9,eL5-3,1,5,0,1,3,2,0,3,2,1
5405x648-1,BZ9,eL5-3,1,2,0,2,3,2,0,3,2,1
5357x6253-1,BZ9,eL5-3,2,2,0,2,2,4,0,2,2,1
5362x2282-1,BZ9,eL5-3,1,8,0,8,3,2,4,3,2,1
5380x4618-1,BZ9,eL5-3,3,1,0,1,3,2,0,3,2,1
5389x4497-1,BZ9,L5-1,1,9,0,4,3,2,0,3,2,1
5387x1744-1,BZ9,L5-1,1,6,0,2,3,2,4,3,2,1
5426x4374-1,BZ9,eL5-3,1,2,0,2,3,2,0,3,2,1
5479x5613-1,BZ9,eL5-3,3,5,0,4,3,2,0,3,2,1
5459x460-1,BZ9,Astro,1,3,0,3,3,2,2,3,2,3
5451x1607-1,BZ9,SST,1,6,0,8,3,2,4,3,2,3
5462x6302-1,BZ9,eL5-3,1,2,0,2,2,4,0,3,2,1
5501x2039-1,BZ9,eL5-3,1,2,0,2,3,2,0,3,2,1
5467x1236-1,BZ9,eL5-3,1,2,0,2,3,2,0,3,2,1
5470x3252-1,BZ9,L5-1,1,1,0,1,3,2,0,3,2,1
