,slice_id,ct,Graphst,Leiden,MENDER,SCANPY,SEDR,SpaceFlow,SpaGCN,STAGATE,stGCL,stLearn
1423x1461-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
1408x3009-2,BZ14,eL2/3,1,7,2,11,2,2,1,1,2,2
1455x455-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,0
1461x832-2,BZ14,eL5-3,1,3,2,3,2,2,1,2,2,3
1474x4321-2,BZ14,eL2/3,1,3,2,3,2,2,1,1,2,3
1478x278-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,0
1491x1905-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
1498x4095-2,BZ14,Astro,1,1,2,1,2,2,1,2,2,0
1548x2758-2,BZ14,eL2/3,1,6,2,4,2,2,1,2,2,0
1560x1209-2,BZ14,eL2/3,1,1,2,3,2,2,1,2,2,3
1580x2072-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
1628x5252-2,BZ14,Astro,1,1,2,1,2,2,2,2,2,0
1681x4677-2,BZ14,Reln,1,7,2,7,2,2,1,2,2,2
1640x582-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
1668x1710-2,BZ14,eL2/3,1,4,2,7,2,2,1,2,2,3
1646x3610-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,0
1709x1918-2,BZ14,L5-1,1,3,2,3,2,2,1,2,2,3
1716x5810-2,BZ14,Astro,1,1,2,1,1,2,3,1,2,0
1702x374-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
1696x805-2,BZ14,L5-1,1,3,2,5,2,2,1,2,2,3
1701x1113-2,BZ14,eL2/3,1,6,2,6,2,2,1,2,2,3
1720x2478-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
1796x5571-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
1749x3980-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
1852x4926-2,BZ14,eL5-3,1,3,2,3,2,2,1,2,2,3
1823x6241-2,BZ14,Oligo,1,1,2,9,2,2,3,1,2,0
1829x1040-2,BZ14,eL2/3,1,6,2,6,2,2,1,2,2,3
1880x871-2,BZ14,eL2/3,3,3,2,3,2,2,1,2,2,3
1823x1296-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
1881x1670-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
1862x4213-2,BZ14,eL2/3,1,3,2,3,2,2,3,2,2,3
1893x85-2,BZ14,eL2/3,1,4,2,3,2,2,1,2,3,3
1892x2110-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
1877x3488-2,BZ14,VIP,1,7,2,7,2,2,3,2,2,2
1934x3072-2,BZ14,eL2/3,1,7,2,7,2,2,1,2,2,2
1966x4085-2,BZ14,VIP,1,7,2,7,2,2,3,2,2,2
2012x6546-2,BZ14,Astro,1,1,2,1,2,2,1,1,2,0
2074x3627-2,BZ14,eL2/3,1,2,2,2,2,2,2,2,2,3
2024x4665-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
2014x5422-2,BZ14,eL5-2,1,3,2,3,2,2,1,2,2,3
2026x250-2,BZ14,eL2/3,3,3,2,3,2,2,1,2,2,3
2048x1957-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
2102x3769-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
2078x4462-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
2048x6033-2,BZ14,eL2/3,1,4,2,5,2,2,1,2,2,3
2055x2430-2,BZ14,L5-1,1,6,2,6,2,2,1,2,2,3
2110x4859-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
2112x5112-2,BZ14,eL5-2,1,6,2,3,2,2,2,2,2,3
2200x3912-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
2126x1539-2,BZ14,eL2/3,1,3,2,5,2,2,2,2,2,3
2168x4097-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
2102x2610-2,BZ14,eL2/3,1,6,2,6,2,2,2,3,2,3
2201x6293-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
2200x3089-2,BZ14,eL2/3,1,6,2,6,2,2,1,2,2,3
2262x1991-2,BZ14,Endo,2,1,2,1,2,2,1,2,2,0
2251x5609-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
2244x63-2,BZ14,SST,3,5,2,4,2,2,3,3,3,2
2290x1082-2,BZ14,eL2/3,1,3,2,3,2,2,1,3,3,3
2238x591-2,BZ14,eL2/3,3,4,2,5,2,2,2,3,3,3
2293x3218-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
2273x5812-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
2302x5362-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
2313x4873-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
2338x216-2,BZ14,Smc,3,1,2,1,2,2,3,3,3,0
2308x6005-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
2287x3523-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
2374x5157-2,BZ14,SST,1,5,2,4,2,2,3,2,2,2
2303x4422-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
2386x614-2,BZ14,eL6-1,3,0,2,0,2,3,2,3,3,1
2423x1816-2,BZ14,Astro,1,7,2,7,3,2,3,1,3,0
2387x6145-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
2412x395-2,BZ14,L5-1,3,4,2,5,2,3,2,3,3,3
2416x4152-2,BZ14,eL2/3,1,4,2,5,2,2,1,2,2,3
2414x6332-2,BZ14,eL2/3,1,4,2,3,2,2,1,2,2,3
2440x1302-2,BZ14,Astro,3,9,2,10,3,2,2,3,3,1
2401x4700-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
2440x5876-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
2474x5515-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
2505x1637-2,BZ14,Reln,3,7,2,7,3,2,3,3,3,2
2515x4351-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
2469x51-2,BZ14,eL2/3,3,4,0,5,2,2,1,3,3,3
2493x2879-2,BZ14,Endo,1,1,2,1,2,2,1,2,2,0
2489x5722-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
2479x2189-2,BZ14,eL2/3,3,3,2,3,2,2,2,3,2,3
2534x4947-2,BZ14,VIP,1,3,2,3,2,2,3,2,2,2
2520x171-2,BZ14,L5-1,3,4,0,5,2,3,1,3,3,3
2572x6217-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
2608x2610-2,BZ14,eL2/3,1,6,2,6,2,2,1,3,2,3
2563x5249-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
2581x5889-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
2588x305-2,BZ14,eL5-3,3,4,0,5,2,3,2,3,3,3
2568x1357-2,BZ14,Astro,3,6,2,6,3,2,1,3,3,3
2529x3823-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
2602x3468-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
2596x912-2,BZ14,Oligo,3,1,0,6,3,3,1,3,3,3
2602x6023-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
2644x5583-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
2655x96-2,BZ14,eL2/3,3,4,0,5,2,3,2,3,3,3
2653x4651-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
2638x6405-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
2646x516-2,BZ14,Astro,3,1,0,1,2,3,2,3,3,0
2643x3611-2,BZ14,eL5-2,1,4,2,5,2,2,1,2,2,3
2664x2023-2,BZ14,eL5-2,3,4,2,5,3,2,2,3,3,3
2663x2832-2,BZ14,eL2/3,3,4,2,5,2,2,1,3,2,3
2632x3265-2,BZ14,SST,1,5,2,4,2,2,3,2,2,2
2681x5790-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
2668x1379-2,BZ14,VIP,3,7,0,7,3,2,3,3,3,2
2698x649-2,BZ14,eL5-3,3,9,0,10,3,3,2,3,3,1
2707x2989-2,BZ14,Lhx6,3,9,2,10,2,2,2,3,2,3
2727x6053-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
2738x872-2,BZ14,L5-1,3,6,0,6,3,3,1,3,3,3
2752x1540-2,BZ14,L5-1,3,3,0,3,3,2,1,3,3,3
2783x3889-2,BZ14,eL2/3,1,3,2,5,2,2,1,2,2,3
2762x4456-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
2777x3358-2,BZ14,eL2/3,1,3,2,3,2,2,3,1,2,3
2750x6307-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
2766x345-2,BZ14,L5-1,3,4,0,5,2,3,2,3,3,3
2759x1323-2,BZ14,Lhx6,3,7,0,4,3,2,3,3,3,2
2736x4140-2,BZ14,Endo,1,7,2,1,2,2,1,2,2,0
2832x3222-2,BZ14,eL5-2,3,3,2,5,2,2,3,3,3,3
2862x2164-2,BZ14,Smc,3,1,0,1,2,2,0,3,3,0
2853x6116-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
2853x1232-2,BZ14,Lhx6,3,4,0,11,3,2,1,3,3,2
2849x4752-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
2869x672-2,BZ14,eL5-3,3,4,0,5,3,3,2,3,3,3
2877x6303-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
2885x955-2,BZ14,eL5-2,3,6,0,6,3,3,1,3,3,3
2930x1382-2,BZ14,L5-1,3,1,0,11,3,2,1,3,3,0
2917x1715-2,BZ14,SST,3,5,0,4,3,2,3,3,3,2
2954x5417-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
2925x2858-2,BZ14,eL5-2,3,6,2,6,2,2,1,3,3,3
2949x4135-2,BZ14,eL5-2,1,3,2,3,2,2,1,2,2,0
2959x5946-2,BZ14,eL2/3,1,3,2,3,2,2,3,2,2,0
3001x570-2,BZ14,eL5-2,3,6,0,6,3,3,3,3,3,3
2964x2382-2,BZ14,eL5-2,2,1,0,1,2,2,1,3,3,1
3029x6124-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
3038x3690-2,BZ14,SST,3,5,0,4,2,2,3,1,2,2
2981x4312-2,BZ14,eL2/3,1,6,2,5,2,2,1,3,2,3
3001x4589-2,BZ14,eL2/3,1,4,2,5,2,2,1,2,2,3
3047x2992-2,BZ14,eL5-2,3,4,2,11,2,2,2,3,3,3
3026x168-2,BZ14,eL5-2,3,9,0,10,3,3,2,3,3,1
3035x2735-2,BZ14,L5-1,3,4,2,5,2,2,1,3,3,3
3055x1255-2,BZ14,eL5-2,3,6,0,2,3,3,1,3,3,3
3045x5574-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
3127x3550-2,BZ14,SST,3,5,0,4,2,2,3,1,1,2
3109x991-2,BZ14,eL5-3,3,6,0,6,3,3,2,3,3,3
3142x5223-2,BZ14,eL5-2,3,5,2,4,2,2,2,2,2,3
3170x4419-2,BZ14,eL5-3,3,6,2,6,2,2,1,3,2,3
3191x2032-2,BZ14,eL5-3,3,2,0,2,3,2,2,3,3,3
3193x3278-2,BZ14,L5-1,3,4,0,5,2,2,1,3,3,3
3190x67-2,BZ14,Lhx6,3,2,0,4,3,1,2,3,3,2
3210x5543-2,BZ14,eL5-2,1,6,2,6,2,2,1,3,2,3
3178x6390-2,BZ14,eL2/3,1,6,2,6,2,2,1,2,2,3
3203x2480-2,BZ14,Smc,2,5,0,4,2,2,3,3,3,0
3217x1786-2,BZ14,eL5-3,3,9,0,0,3,2,0,3,3,1
3165x1605-2,BZ14,eL5-3,3,9,0,10,3,3,2,3,3,0
3254x647-2,BZ14,SST,3,5,0,4,3,3,3,3,3,2
3258x1076-2,BZ14,eL5-3,3,6,0,6,3,3,2,3,3,3
3289x4106-2,BZ14,Endo,2,1,2,1,2,2,3,1,3,0
3254x1284-2,BZ14,L5-1,3,5,0,5,3,3,1,3,3,3
3287x2225-2,BZ14,L5-1,3,4,0,5,2,2,1,3,3,3
3301x407-2,BZ14,eL5-3,3,2,0,2,3,3,2,3,3,3
3263x2923-2,BZ14,eL5-3,3,4,0,2,2,2,2,3,3,3
3325x3157-2,BZ14,eL5-3,3,2,0,2,2,3,3,3,3,3
3354x3515-2,BZ14,eL2/3,3,1,0,1,2,3,1,3,3,0
3325x6045-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
3364x1480-2,BZ14,eL5-3,3,2,0,5,3,3,1,3,3,3
3380x4748-2,BZ14,eL2/3,3,4,0,5,2,2,2,3,3,3
3366x4389-2,BZ14,VIP,3,7,0,7,2,2,3,3,3,2
3403x238-2,BZ14,eL5-3,3,9,0,10,3,1,2,3,3,3
3371x860-2,BZ14,eL5-3,3,2,0,2,3,3,2,3,3,3
3388x5201-2,BZ14,eL5-2,3,6,2,6,3,3,1,3,2,3
3403x1139-2,BZ14,eL5-2,3,6,0,6,3,3,3,3,3,3
3456x617-2,BZ14,L5-1,3,4,0,5,3,1,1,3,3,3
3455x4948-2,BZ14,eL5-2,3,6,2,6,2,3,1,3,3,3
3478x5885-2,BZ14,Lhx6,1,7,2,7,2,3,3,3,2,2
3455x3940-2,BZ14,eL5-2,2,4,0,5,2,3,2,1,3,3
3560x1126-2,BZ14,eL6-1,3,0,0,0,3,1,0,3,3,1
3513x3509-2,BZ14,eL5-2,3,5,0,4,2,3,1,3,3,3
3525x4249-2,BZ14,eL5-2,3,1,0,1,2,2,3,1,3,0
3539x2725-2,BZ14,L5-1,3,4,0,5,2,2,1,3,3,3
3598x3920-2,BZ14,L5-1,2,4,0,5,2,3,3,1,3,3
3515x4106-2,BZ14,Endo,2,1,0,1,2,3,3,1,3,0
3559x5192-2,BZ14,L5-1,3,4,2,5,3,3,1,3,3,3
3595x2939-2,BZ14,eL5-3,3,4,0,2,2,2,1,3,3,3
3583x981-2,BZ14,Lhx6,3,5,0,4,3,1,3,3,3,2
3582x5537-2,BZ14,eL2/3,3,4,2,5,3,3,2,3,3,3
3635x3143-2,BZ14,Reln,3,4,0,5,2,3,1,3,3,3
3628x3628-2,BZ14,SST,3,5,0,4,2,3,3,3,3,2
3619x1701-2,BZ14,eL5-3,3,2,0,2,3,1,1,3,3,3
3602x2222-2,BZ14,L5-1,3,4,0,5,3,2,1,3,3,3
3657x4163-2,BZ14,Endo,2,1,0,1,2,3,3,1,3,0
3665x1449-2,BZ14,L5-1,3,4,0,2,3,1,3,3,3,3
3682x6157-2,BZ14,eL2/3,1,6,2,6,3,3,3,3,3,3
3643x112-2,BZ14,L5-1,3,2,0,1,3,1,2,3,3,0
3702x5289-2,BZ14,eL5-2,3,4,2,5,3,3,2,3,3,3
3697x3465-2,BZ14,eL5-2,3,5,0,4,2,3,1,3,3,3
3709x4779-2,BZ14,eL5-3,3,2,0,2,3,3,2,3,3,3
3723x4545-2,BZ14,eL2/3,3,4,0,5,2,2,2,3,3,3
3738x4020-2,BZ14,Endo,2,1,0,1,2,3,3,1,3,0
3746x2408-2,BZ14,VIP,3,7,0,7,2,2,1,3,3,2
3778x3306-2,BZ14,eL5-2,3,5,0,4,2,3,2,3,3,0
3806x4345-2,BZ14,L5-1,3,4,0,5,2,3,2,1,3,3
3787x1828-2,BZ14,L5-1,3,4,0,5,3,1,1,3,3,3
3831x2123-2,BZ14,eL5-3,3,1,0,1,3,2,2,3,3,3
3796x5486-2,BZ14,eL5-2,3,4,0,5,3,3,2,3,3,3
3804x3702-2,BZ14,eL5-3,3,2,0,2,2,3,2,3,3,3
3840x5169-2,BZ14,eL5-3,3,2,0,10,3,3,2,3,3,3
3836x6012-2,BZ14,eL2/3,1,3,2,3,3,3,1,3,3,3
3832x3041-2,BZ14,eL6-2,3,9,0,10,3,3,2,3,3,1
3867x1566-2,BZ14,eL5-3,3,6,0,6,3,1,2,3,3,3
3834x4986-2,BZ14,eL5-2,3,9,0,10,3,3,2,3,3,3
3869x1172-2,BZ14,Astro,3,5,0,4,3,1,3,3,3,2
3826x2771-2,BZ14,Astro,1,7,0,7,3,2,3,3,3,0
3896x3910-2,BZ14,L5-1,2,4,0,5,2,3,3,1,3,0
3890x675-2,BZ14,eL5-3,3,2,0,2,3,1,2,3,3,3
3911x4046-2,BZ14,Endo,2,1,0,1,2,3,3,1,3,0
3894x197-2,BZ14,eL5-3,3,7,0,7,3,1,3,3,3,2
3925x2545-2,BZ14,L5-1,3,4,0,5,3,2,1,3,3,3
3936x493-2,BZ14,eL5-3,3,2,0,5,3,1,2,3,3,3
3959x939-2,BZ14,eL5-3,3,2,0,2,3,1,2,3,3,3
4035x2905-2,BZ14,Reln,3,7,0,7,3,3,3,3,3,2
4016x3267-2,BZ14,eL5-2,3,2,0,2,3,3,2,3,3,2
3992x73-2,BZ14,eL5-3,3,2,0,2,3,1,2,3,3,3
4000x358-2,BZ14,L5-1,3,2,0,9,3,1,2,3,3,3
4004x2373-2,BZ14,L5-1,3,4,0,5,3,2,2,3,3,3
4015x4988-2,BZ14,eL5-3,3,6,0,6,3,3,2,3,3,3
4048x3718-2,BZ14,Astro,2,1,0,1,2,3,2,1,3,0
4000x5637-2,BZ14,eL5-2,3,6,0,5,3,3,1,3,3,3
4024x1341-2,BZ14,eL5-3,3,2,0,2,3,1,1,3,3,3
4000x1947-2,BZ14,Astro,3,1,0,1,3,1,2,3,3,0
4056x2718-2,BZ14,Smc,3,0,0,1,3,2,1,3,3,0
4099x1151-2,BZ14,Lhx6,3,7,0,7,3,1,3,3,3,2
4095x4021-2,BZ14,Endo,2,1,0,1,2,3,3,1,3,0
4081x1490-2,BZ14,L5-1,3,6,0,6,3,1,1,3,3,3
4091x4648-2,BZ14,Smc,3,5,0,4,3,3,1,3,3,2
4156x5281-2,BZ14,Astro,3,1,0,1,3,3,0,3,3,0
4107x5920-2,BZ14,eL2/3,1,6,2,6,3,3,1,3,3,3
4151x2300-2,BZ14,eL5-3,3,2,0,2,3,3,2,3,3,3
4144x1655-2,BZ14,L5-1,3,4,0,5,3,1,1,3,3,3
4124x2032-2,BZ14,eL5-3,3,6,0,6,3,1,1,3,3,3
4148x4942-2,BZ14,eL5-3,3,2,0,2,3,3,2,3,3,3
4181x141-2,BZ14,L5-1,3,4,0,5,3,1,2,3,3,3
4237x4536-2,BZ14,SST,3,5,0,4,3,3,3,3,3,2
4185x4791-2,BZ14,SST,3,5,0,4,3,3,1,3,3,2
4244x1325-2,BZ14,eL5-3,3,2,0,2,3,1,2,3,3,3
4243x1800-2,BZ14,Astro,3,7,0,1,3,1,1,3,3,0
4225x1013-2,BZ14,eL5-3,3,2,0,2,3,1,2,3,3,3
4259x1532-2,BZ14,eL5-3,3,1,0,1,3,1,1,3,3,0
4260x2060-2,BZ14,Oligo,3,6,0,6,3,1,1,3,3,1
4246x2764-2,BZ14,Lhx6,3,7,0,7,3,3,3,3,3,2
4223x3477-2,BZ14,eL5-3,3,2,0,6,3,3,2,3,3,3
4242x3944-2,BZ14,Endo,2,1,0,1,3,3,3,1,3,0
4272x4111-2,BZ14,L5-1,2,6,0,6,2,3,1,3,3,3
4257x6184-2,BZ14,Lhx6,3,7,0,7,3,3,3,3,3,2
4305x2433-2,BZ14,eL5-3,3,6,0,6,3,3,2,3,3,3
4329x2615-2,BZ14,eL5-3,3,2,0,2,3,3,2,3,3,3
4356x5018-2,BZ14,eL5-2,3,5,0,2,3,3,2,3,3,3
4352x2301-2,BZ14,eL5-3,3,6,0,6,3,3,2,3,3,3
4335x3186-2,BZ14,eL5-3,3,2,0,2,3,3,2,3,3,3
4326x221-2,BZ14,eL5-3,3,2,0,2,3,1,2,3,3,3
4372x952-2,BZ14,NPY,3,7,0,7,3,1,3,3,3,2
4408x1718-2,BZ14,eL5-2,3,4,0,4,3,1,2,3,3,1
4384x2969-2,BZ14,eL5-3,3,2,0,2,3,3,2,3,3,3
4410x1265-2,BZ14,Astro,3,2,0,2,3,1,2,3,3,0
4412x3366-2,BZ14,eL5-3,3,2,0,2,3,3,2,3,3,3
4359x4303-2,BZ14,eL5-3,3,2,0,2,3,3,2,3,3,3
4411x2011-2,BZ14,eL5-3,3,2,0,1,3,1,2,3,3,3
4442x5438-2,BZ14,L5-1,3,4,0,5,3,3,1,3,3,3
4453x1550-2,BZ14,SST,3,5,0,4,3,1,3,3,3,2
4456x6137-2,BZ14,eL5-2,1,4,0,5,3,3,2,3,3,3
4434x5865-2,BZ14,eL5-2,3,7,0,7,3,3,1,3,3,0
4470x2600-2,BZ14,eL5-3,3,6,0,6,3,3,2,3,3,3
4440x6523-2,BZ14,L5-1,3,4,2,5,3,3,1,3,3,3
4461x6335-2,BZ14,eL2/3,3,4,0,5,3,3,2,3,3,3
4533x267-2,BZ14,eL5-3,3,2,0,2,3,1,1,3,3,3
4553x1880-2,BZ14,eL5-3,3,2,0,2,3,1,2,3,3,3
4568x2033-2,BZ14,eL6-1,3,5,0,4,3,1,3,3,3,1
4540x2178-2,BZ14,SST,3,5,0,4,3,1,3,3,3,2
4550x591-2,BZ14,eL5-3,3,2,0,2,3,1,2,3,3,3
4581x4791-2,BZ14,eL5-3,3,6,0,6,3,3,2,3,3,3
4600x5110-2,BZ14,Oligo,3,6,0,6,3,3,2,3,3,3
4591x1113-2,BZ14,L5-1,3,4,0,5,3,1,2,3,3,3
4569x2805-2,BZ14,eL5-3,3,2,0,2,3,3,2,3,3,3
4607x3591-2,BZ14,eL5-3,3,2,0,2,3,3,2,3,3,3
4645x3786-2,BZ14,eL5-3,3,2,0,2,3,3,2,3,3,3
4571x4499-2,BZ14,eL5-3,3,2,0,2,3,3,2,3,3,3
4602x5830-2,BZ14,L5-1,3,4,0,5,3,3,1,3,3,3
4668x2568-2,BZ14,eL5-3,3,6,0,6,3,3,2,3,3,3
4605x4113-2,BZ14,eL5-3,3,2,0,2,3,3,2,3,3,3
4649x2340-2,BZ14,eL5-3,3,6,0,2,3,1,2,3,3,3
4660x6099-2,BZ14,Reln,3,7,0,7,3,3,1,3,3,2
4639x5451-2,BZ14,eL5-2,3,4,0,5,3,3,2,3,3,3
4696x1321-2,BZ14,Endo,4,9,0,6,3,1,0,3,3,1
4728x467-2,BZ14,eL5-3,3,1,0,10,3,1,2,3,3,0
4740x5765-2,BZ14,eL2/3,3,6,0,6,3,3,2,3,3,3
4767x4775-2,BZ14,eL5-3,3,6,0,6,3,3,2,3,3,3
4758x5513-2,BZ14,eL5-2,3,9,0,10,3,3,2,3,3,3
4729x3461-2,BZ14,eL5-2,3,8,0,2,3,3,2,3,3,3
4749x77-2,BZ14,SST,2,5,0,4,3,1,3,1,3,2
